    FDMNES
    energy     <xanes>
   7097.00  4.1521732E-03
   7097.33  4.2286461E-03
   7097.67  4.3077674E-03
   7098.00  4.3896823E-03
   7098.33  4.4749477E-03
   7098.67  4.5633950E-03
   7099.00  4.6552158E-03
   7099.33  4.7511084E-03
   7099.67  4.8508945E-03
   7100.00  4.9548345E-03
   7100.33  5.0638282E-03
   7100.67  5.1776956E-03
   7101.00  5.2968036E-03
   7101.33  5.4223510E-03
   7101.67  5.5541755E-03
   7102.00  5.6928175E-03
   7102.33  5.8399431E-03
   7102.67  5.9954533E-03
   7103.00  6.1601879E-03
   7103.33  6.3365906E-03
   7103.67  6.5247347E-03
   7104.00  6.7260155E-03
   7104.33  6.9442753E-03
   7104.67  7.1800330E-03
   7105.00  7.4358124E-03
   7105.33  7.7182304E-03
   7105.67  8.0290008E-03
   7106.00  8.3732221E-03
   7106.33  8.7637603E-03
   7106.67  9.2058617E-03
   7107.00  9.7114825E-03
   7107.33  1.0310225E-02
   7107.67  1.1019661E-02
   7108.00  1.1874495E-02
   7108.33  1.2961882E-02
   7108.67  1.4355648E-02
   7109.00  1.6195576E-02
   7109.33  1.8859768E-02
   7109.67  2.2813765E-02
   7110.00  2.8982724E-02
   7110.33  4.0023318E-02
   7110.67  5.8061722E-02
   7111.00  7.9733542E-02
   7111.33  8.9579998E-02
   7111.67  8.9936232E-02
   7112.00  8.9449619E-02
   7112.33  9.0756000E-02
   7112.67  9.0920890E-02
   7113.00  8.7886981E-02
   7113.33  8.0041107E-02
   7113.67  6.9486523E-02
   7114.00  5.8850654E-02
   7114.33  4.9713808E-02
   7114.67  4.2651892E-02
   7115.00  3.8147619E-02
   7115.33  3.5995016E-02
   7115.67  3.5237080E-02
   7116.00  3.5433845E-02
   7116.33  3.6323772E-02
   7116.67  3.7678219E-02
   7117.00  3.9519390E-02
   7117.33  4.2081133E-02
   7117.67  4.5496701E-02
   7118.00  4.9938377E-02
   7118.33  5.5628299E-02
   7118.67  6.2193889E-02
   7119.00  6.9066904E-02
   7119.33  7.5316225E-02
   7119.67  8.0544050E-02
   7120.00  8.4984061E-02
   7120.33  8.9438146E-02
   7120.67  9.4762733E-02
   7121.00  1.0145938E-01
   7121.33  1.1002879E-01
   7121.67  1.2051173E-01
   7122.00  1.3334841E-01
   7122.33  1.4985824E-01
   7122.67  1.7092599E-01
   7123.00  1.9787985E-01
   7123.33  2.3325269E-01
