    FDMNES
    energy     <xanes>
   7097.00  4.4110001E-03
   7097.33  4.5022555E-03
   7097.67  4.5972232E-03
   7098.00  4.6961424E-03
   7098.33  4.7998533E-03
   7098.67  4.9081670E-03
   7099.00  5.0214099E-03
   7099.33  5.1406759E-03
   7099.67  5.2657743E-03
   7100.00  5.3971652E-03
   7100.33  5.5363155E-03
   7100.67  5.6830533E-03
   7101.00  5.8380507E-03
   7101.33  6.0033474E-03
   7101.67  6.1788366E-03
   7102.00  6.3655434E-03
   7102.33  6.5664315E-03
   7102.67  6.7815635E-03
   7103.00  7.0125874E-03
   7103.33  7.2640502E-03
   7103.67  7.5364283E-03
   7104.00  7.8325482E-03
   7104.33  8.1598779E-03
   7104.67  8.5199179E-03
   7105.00  8.9179261E-03
   7105.33  9.3672897E-03
   7105.67  9.8721997E-03
   7106.00  1.0443528E-02
   7106.33  1.1108216E-02
   7106.67  1.1878332E-02
   7107.00  1.2779824E-02
   7107.33  1.3876327E-02
   7107.67  1.5207252E-02
   7108.00  1.6848708E-02
   7108.33  1.8991033E-02
   7108.67  2.1797587E-02
   7109.00  2.5575271E-02
   7109.33  3.1151524E-02
   7109.67  3.9542519E-02
   7110.00  5.2762737E-02
   7110.33  7.6644409E-02
   7110.67  1.1652482E-01
   7111.00  1.6790496E-01
   7111.33  1.9662053E-01
   7111.67  1.9289623E-01
   7112.00  1.7627965E-01
   7112.33  1.7260986E-01
   7112.67  1.7759967E-01
   7113.00  1.7422435E-01
   7113.33  1.5558934E-01
   7113.67  1.2988572E-01
   7114.00  1.0154316E-01
   7114.33  7.9148414E-02
   7114.67  6.4335112E-02
   7115.00  5.4661037E-02
   7115.33  4.7654794E-02
   7115.67  4.2816331E-02
   7116.00  4.0020634E-02
   7116.33  3.8941690E-02
   7116.67  3.8996627E-02
   7117.00  3.9943691E-02
   7117.33  4.1545372E-02
   7117.67  4.3357761E-02
   7118.00  4.5167687E-02
   7118.33  4.7109723E-02
   7118.67  4.9609423E-02
   7119.00  5.3044543E-02
   7119.33  5.7814736E-02
   7119.67  6.3910614E-02
   7120.00  7.1529123E-02
   7120.33  8.1343616E-02
   7120.67  9.3819316E-02
   7121.00  1.0983109E-01
   7121.33  1.3108109E-01
   7121.67  1.5766352E-01
   7122.00  1.8937371E-01
   7122.33  2.2537956E-01
   7122.67  2.6287723E-01
   7123.00  2.9945513E-01
   7123.33  3.3303321E-01
   7123.67  3.6471248E-01
   7124.00  3.9610289E-01
   7124.33  4.2733810E-01
   7124.67  4.5761599E-01
   7125.00  4.8824530E-01
   7125.33  5.2337303E-01
   7125.67  5.6524559E-01
   7126.00  6.1232087E-01
   7126.33  6.5557613E-01
   7126.67  6.8384718E-01
   7127.00  6.9268275E-01
   7127.33  6.8436860E-01
   7127.67  6.6922031E-01
   7128.00  6.5420290E-01
   7128.33  6.4575380E-01
   7128.67  6.4467529E-01
   7129.00  6.4949161E-01
   7129.33  6.5807126E-01
   7129.67  6.6788351E-01
   7130.00  6.7754694E-01
   7130.33  6.8541067E-01
   7130.67  6.9018112E-01
   7131.00  6.9106828E-01
   7131.33  6.8869902E-01
   7131.67  6.8627875E-01
   7132.00  6.8593642E-01
   7132.33  6.8865657E-01
   7132.67  6.9328744E-01
   7133.00  6.9884864E-01
   7133.33  7.0458318E-01
   7133.67  7.1036910E-01
