    FDMNES
    energy     <xanes>
   7097.00  4.3363657E-03
   7097.33  4.4224562E-03
   7097.67  4.5117754E-03
   7098.00  4.6045124E-03
   7098.33  4.7013662E-03
   7098.67  4.8021467E-03
   7099.00  4.9071060E-03
   7099.33  5.0171325E-03
   7099.67  5.1320263E-03
   7100.00  5.2521336E-03
   7100.33  5.3786137E-03
   7100.67  5.5112685E-03
   7101.00  5.6505899E-03
   7101.33  5.7981416E-03
   7101.67  5.9537537E-03
   7102.00  6.1181544E-03
   7102.33  6.2935406E-03
   7102.67  6.4798311E-03
   7103.00  6.6781602E-03
   7103.33  6.8917753E-03
   7103.67  7.1208258E-03
   7104.00  7.3671907E-03
   7104.33  7.6359907E-03
   7104.67  7.9279537E-03
   7105.00  8.2464453E-03
   7105.33  8.6002385E-03
   7105.67  8.9915672E-03
   7106.00  9.4270958E-03
   7106.33  9.9235933E-03
   7106.67  1.0487578E-02
   7107.00  1.1134145E-02
   7107.33  1.1900524E-02
   7107.67  1.2807392E-02
   7108.00  1.3896083E-02
   7108.33  1.5269312E-02
   7108.67  1.7007206E-02
   7109.00  1.9261012E-02
   7109.33  2.2429191E-02
   7109.67  2.6959270E-02
   7110.00  3.3725578E-02
   7110.33  4.5237496E-02
   7110.67  6.4203286E-02
   7111.00  9.1608975E-02
   7111.33  1.2198221E-01
   7111.67  1.5105211E-01
   7112.00  1.7297198E-01
   7112.33  1.6467352E-01
   7112.67  1.3824930E-01
   7113.00  1.1507105E-01
   7113.33  9.9690678E-02
   7113.67  9.0306090E-02
   7114.00  8.1787045E-02
   7114.33  6.8697615E-02
   7114.67  5.7692804E-02
   7115.00  5.1348521E-02
   7115.33  4.8809092E-02
   7115.67  4.8339879E-02
   7116.00  4.9302988E-02
   7116.33  5.1328406E-02
   7116.67  5.3909264E-02
   7117.00  5.6807077E-02
   7117.33  5.9917615E-02
   7117.67  6.3223939E-02
   7118.00  6.6855904E-02
   7118.33  7.1130740E-02
   7118.67  7.6232230E-02
   7119.00  8.2396242E-02
   7119.33  9.0107495E-02
   7119.67  9.9523366E-02
   7120.00  1.1095053E-01
   7120.33  1.2515930E-01
   7120.67  1.4241937E-01
   7121.00  1.6317264E-01
   7121.33  1.8809071E-01
   7121.67  2.1636466E-01
   7122.00  2.4706523E-01
   7122.33  2.7830064E-01
   7122.67  3.0751054E-01
   7123.00  3.3313529E-01
   7123.33  3.5513102E-01
   7123.67  3.7659766E-01
   7124.00  4.0041142E-01
   7124.33  4.2941399E-01
   7124.67  4.6327482E-01
   7125.00  5.0062979E-01
   7125.33  5.3910167E-01
