    FDMNES
    energy     <xanes>
   7097.00  5.3063273E-03
   7097.33  5.4349322E-03
   7097.67  5.5694940E-03
   7098.00  5.7104189E-03
   7098.33  5.8590903E-03
   7098.67  6.0152290E-03
   7099.00  6.1793873E-03
   7099.33  6.3533732E-03
   7099.67  6.5368988E-03
   7100.00  6.7307341E-03
   7100.33  6.9373008E-03
   7100.67  7.1563269E-03
   7101.00  7.3889175E-03
   7101.33  7.6384115E-03
   7101.67  7.9046080E-03
   7102.00  8.1891481E-03
   7102.33  8.4967962E-03
   7102.67  8.8275437E-03
   7103.00  9.1839291E-03
   7103.33  9.5730399E-03
   7103.67  9.9953299E-03
   7104.00  1.0454927E-02
   7104.33  1.0962930E-02
   7104.67  1.1520884E-02
   7105.00  1.2135935E-02
   7105.33  1.2826625E-02
   7105.67  1.3597172E-02
   7106.00  1.4460971E-02
   7106.33  1.5451752E-02
   7106.67  1.6580775E-02
   7107.00  1.7876012E-02
   7107.33  1.9406438E-02
   7107.67  2.1204369E-02
   7108.00  2.3337984E-02
   7108.33  2.5974915E-02
   7108.67  2.9224989E-02
   7109.00  3.3299913E-02
   7109.33  3.8740032E-02
   7109.67  4.6060368E-02
   7110.00  5.6252947E-02
   7110.33  7.2070302E-02
   7110.67  9.6482911E-02
   7111.00  1.3216900E-01
   7111.33  1.8038479E-01
   7111.67  2.4192699E-01
   7112.00  3.2031913E-01
   7112.33  4.0752843E-01
   7112.67  4.7472964E-01
   7113.00  5.1395705E-01
   7113.33  5.2301929E-01
   7113.67  5.1121656E-01
   7114.00  4.7207848E-01
   7114.33  4.0443974E-01
   7114.67  3.4232646E-01
   7115.00  3.0137893E-01
   7115.33  2.8295397E-01
   7115.67  2.7363588E-01
   7116.00  2.6259234E-01
   7116.33  2.4504823E-01
   7116.67  2.2620378E-01
   7117.00  2.0917880E-01
   7117.33  1.9519657E-01
   7117.67  1.8400015E-01
   7118.00  1.7524060E-01
   7118.33  1.6818309E-01
   7118.67  1.6186899E-01
   7119.00  1.5597800E-01
   7119.33  1.5023542E-01
   7119.67  1.4463446E-01
   7120.00  1.3970323E-01
   7120.33  1.3639104E-01
   7120.67  1.3471933E-01
   7121.00  1.3423098E-01
   7121.33  1.3435569E-01
   7121.67  1.3516079E-01
   7122.00  1.3718541E-01
   7122.33  1.4095689E-01
   7122.67  1.4635155E-01
   7123.00  1.5347926E-01
   7123.33  1.6286696E-01
   7123.67  1.7466624E-01
   7124.00  1.8928304E-01
   7124.33  2.0761683E-01
   7124.67  2.2966540E-01
   7125.00  2.5558255E-01
   7125.33  2.8539238E-01
   7125.67  3.1708122E-01
   7126.00  3.4814693E-01
   7126.33  3.7468894E-01
   7126.67  3.9532020E-01
   7127.00  4.1057659E-01
   7127.33  4.2260939E-01
   7127.67  4.3531064E-01
   7128.00  4.5172511E-01
   7128.33  4.7520287E-01
   7128.67  5.0597510E-01
   7129.00  5.4385412E-01
   7129.33  5.8804863E-01
   7129.67  6.3451553E-01
   7130.00  6.7931998E-01
   7130.33  7.1805399E-01
   7130.67  7.5077091E-01
   7131.00  7.7948069E-01
   7131.33  8.0739132E-01
   7131.67  8.3688791E-01
   7132.00  8.6836464E-01
   7132.33  9.0027902E-01
   7132.67  9.2901911E-01
   7133.00  9.5067156E-01
   7133.33  9.5979296E-01
   7133.67  9.5561472E-01
   7134.00  9.3811342E-01
   7134.33  9.0756329E-01
   7134.67  8.6845724E-01
   7135.00  8.2386795E-01
   7135.33  7.7670875E-01
   7135.67  7.2949095E-01
   7136.00  6.8340683E-01
   7136.33  6.3965735E-01
   7136.67  5.9876353E-01
   7137.00  5.6137472E-01
   7137.33  5.2873137E-01
   7137.67  5.0087903E-01
   7138.00  4.7810637E-01
   7138.33  4.6106127E-01
   7138.67  4.4875460E-01
   7139.00  4.4065037E-01
   7139.33  4.3641939E-01
   7139.67  4.3488602E-01
   7140.00  4.3550566E-01
   7140.33  4.3798660E-01
   7140.67  4.4175436E-01
   7141.00  4.4657539E-01
   7141.33  4.5235184E-01
   7141.67  4.5882191E-01
   7142.00  4.6587288E-01
   7142.33  4.7343653E-01
   7142.67  4.8132178E-01
   7143.00  4.8939853E-01
   7143.33  4.9749971E-01
   7143.67  5.0544077E-01
   7144.00  5.1306677E-01
   7144.33  5.2015552E-01
   7144.67  5.2663975E-01
   7145.00  5.3244790E-01
   7145.33  5.3745494E-01
   7145.67  5.4176012E-01
   7146.00  5.4540377E-01
   7146.33  5.4839042E-01
   7146.67  5.5088281E-01
   7147.00  5.5295982E-01
   7147.33  5.5467678E-01
   7147.67  5.5617032E-01
   7148.00  5.5752301E-01
   7148.33  5.5882388E-01
   7148.67  5.6016877E-01
   7149.00  5.6162974E-01
