    FDMNES
    energy     <xanes>
   7097.00  4.9866177E-03
   7097.33  5.0997801E-03
   7097.67  5.2177774E-03
   7098.00  5.3409185E-03
   7098.33  5.4702921E-03
   7098.67  5.6056450E-03
   7099.00  5.7473933E-03
   7099.33  5.8969417E-03
   7099.67  6.0540262E-03
   7100.00  6.2192227E-03
   7100.33  6.3943914E-03
   7100.67  6.5792763E-03
   7101.00  6.7747008E-03
   7101.33  6.9832070E-03
   7101.67  7.2045911E-03
   7102.00  7.4400777E-03
   7102.33  7.6932768E-03
   7102.67  7.9641386E-03
   7103.00  8.2545730E-03
   7103.33  8.5699624E-03
   7103.67  8.9106464E-03
   7104.00  9.2797906E-03
   7104.33  9.6859320E-03
   7104.67  1.0130384E-02
   7105.00  1.0618816E-02
   7105.33  1.1165919E-02
   7105.67  1.1775556E-02
   7106.00  1.2458977E-02
   7106.33  1.3244432E-02
   7106.67  1.4143155E-02
   7107.00  1.5180895E-02
   7107.33  1.6421248E-02
   7107.67  1.7900659E-02
   7108.00  1.9691697E-02
   7108.33  2.1976087E-02
   7108.67  2.4903062E-02
   7109.00  2.8756063E-02
   7109.33  3.4298211E-02
   7109.67  4.2450538E-02
   7110.00  5.5041114E-02
   7110.33  7.7297288E-02
   7110.67  1.1335739E-01
   7111.00  1.5696076E-01
   7111.33  1.8114015E-01
   7111.67  1.8921485E-01
   7112.00  1.9098359E-01
   7112.33  1.8705165E-01
   7112.67  1.8887751E-01
   7113.00  2.0511960E-01
   7113.33  2.3402217E-01
   7113.67  2.5468664E-01
   7114.00  2.4249272E-01
   7114.33  2.0231648E-01
   7114.67  1.6603478E-01
   7115.00  1.4149552E-01
   7115.33  1.2847975E-01
   7115.67  1.2305860E-01
   7116.00  1.2404147E-01
   7116.33  1.3191692E-01
   7116.67  1.4606212E-01
   7117.00  1.6548711E-01
   7117.33  1.8673470E-01
   7117.67  2.0753383E-01
   7118.00  2.3034852E-01
   7118.33  2.6130067E-01
   7118.67  3.0070493E-01
   7119.00  3.4329752E-01
   7119.33  3.7836302E-01
   7119.67  4.0084785E-01
   7120.00  4.1240909E-01
   7120.33  4.1779838E-01
   7120.67  4.2153246E-01
   7121.00  4.2492459E-01
   7121.33  4.2840068E-01
   7121.67  4.3189089E-01
   7122.00  4.3519360E-01
   7122.33  4.3800660E-01
   7122.67  4.4069596E-01
   7123.00  4.4447028E-01
   7123.33  4.5125289E-01
   7123.67  4.6093892E-01
   7124.00  4.7267012E-01
   7124.33  4.8542678E-01
   7124.67  4.9833251E-01
   7125.00  5.1090219E-01
   7125.33  5.2239954E-01
   7125.67  5.3240409E-01
   7126.00  5.4077943E-01
   7126.33  5.4741938E-01
   7126.67  5.5236446E-01
   7127.00  5.5536859E-01
   7127.33  5.5638181E-01
