    FDMNES
    energy     <xanes>
   7097.00  4.4984638E-03
   7097.33  4.5928426E-03
   7097.67  4.6911034E-03
   7098.00  4.7934998E-03
   7098.33  4.9009172E-03
   7098.67  5.0131633E-03
   7099.00  5.1305872E-03
   7099.33  5.2543475E-03
   7099.67  5.3842544E-03
   7100.00  5.5208035E-03
   7100.33  5.6655609E-03
   7100.67  5.8183641E-03
   7101.00  5.9799454E-03
   7101.33  6.1525050E-03
   7101.67  6.3359649E-03
   7102.00  6.5314587E-03
   7102.33  6.7422277E-03
   7102.67  6.9684088E-03
   7103.00  7.2118593E-03
   7103.33  7.4776438E-03
   7103.67  7.7664252E-03
   7104.00  8.0814653E-03
   7104.33  8.4312875E-03
   7104.67  8.8178745E-03
   7105.00  9.2474801E-03
   7105.33  9.7358806E-03
   7105.67  1.0288615E-02
   7106.00  1.0919125E-02
   7106.33  1.1660523E-02
   7106.67  1.2529148E-02
   7107.00  1.3558718E-02
   7107.33  1.4831919E-02
   7107.67  1.6404496E-02
   7108.00  1.8382023E-02
   7108.33  2.1030870E-02
   7108.67  2.4597930E-02
   7109.00  2.9547400E-02
   7109.33  3.7156890E-02
   7109.67  4.9103015E-02
   7110.00  6.8737557E-02
   7110.33  1.0559071E-01
   7110.67  1.6502456E-01
   7111.00  2.2482091E-01
   7111.33  2.2772698E-01
   7111.67  1.9687493E-01
   7112.00  1.5327524E-01
   7112.33  1.2153105E-01
   7112.67  1.0668661E-01
   7113.00  1.0146870E-01
   7113.33  9.0259821E-02
   7113.67  7.3788690E-02
   7114.00  6.1126397E-02
   7114.33  5.2858604E-02
   7114.67  4.6247013E-02
   7115.00  4.1937576E-02
   7115.33  3.9957634E-02
   7115.67  3.9400438E-02
   7116.00  3.9945116E-02
   7116.33  4.1474520E-02
   7116.67  4.3555088E-02
   7117.00  4.5812178E-02
   7117.33  4.8076939E-02
   7117.67  5.0597283E-02
   7118.00  5.3621669E-02
   7118.33  5.7358214E-02
   7118.67  6.1783903E-02
   7119.00  6.6990151E-02
   7119.33  7.3306247E-02
   7119.67  8.0926130E-02
   7120.00  9.0211004E-02
   7120.33  1.0193799E-01
   7120.67  1.1635917E-01
   7121.00  1.3383397E-01
   7121.33  1.5498902E-01
   7121.67  1.7962427E-01
   7122.00  2.0820406E-01
