    FDMNES
    energy     <xanes>
   7097.00  5.1261405E-03
   7097.33  5.2515269E-03
   7097.67  5.3828841E-03
   7098.00  5.5206394E-03
   7098.33  5.6662148E-03
   7098.67  5.8193613E-03
   7099.00  5.9806713E-03
   7099.33  6.1520357E-03
   7099.67  6.3332136E-03
   7100.00  6.5250506E-03
   7100.33  6.7301349E-03
   7100.67  6.9482735E-03
   7101.00  7.1807156E-03
   7101.33  7.4311271E-03
   7101.67  7.6994513E-03
   7102.00  7.9876093E-03
   7102.33  8.3010124E-03
   7102.67  8.6399362E-03
   7103.00  9.0074833E-03
   7103.33  9.4120543E-03
   7103.67  9.8547102E-03
   7104.00  1.0340772E-02
   7104.33  1.0884128E-02
   7104.67  1.1487735E-02
   7105.00  1.2161439E-02
   7105.33  1.2930126E-02
   7105.67  1.3801629E-02
   7106.00  1.4796049E-02
   7106.33  1.5963001E-02
   7106.67  1.7324237E-02
   7107.00  1.8926683E-02
   7107.33  2.0885022E-02
   7107.67  2.3267715E-02
   7108.00  2.6207573E-02
   7108.33  3.0034427E-02
   7108.67  3.5018401E-02
   7109.00  4.1665536E-02
   7109.33  5.1319248E-02
   7109.67  6.5546632E-02
   7110.00  8.7425249E-02
   7110.33  1.2588882E-01
   7110.67  1.9074202E-01
   7111.00  2.8409580E-01
   7111.33  3.6847957E-01
   7111.67  4.0979849E-01
   7112.00  4.1833301E-01
   7112.33  4.1123220E-01
   7112.67  3.8450501E-01
   7113.00  3.3613226E-01
   7113.33  2.7627183E-01
   7113.67  2.2125986E-01
   7114.00  1.7981290E-01
   7114.33  1.5534971E-01
   7114.67  1.4355416E-01
   7115.00  1.4130684E-01
   7115.33  1.4256116E-01
   7115.67  1.4024883E-01
   7116.00  1.3399105E-01
   7116.33  1.2717270E-01
   7116.67  1.2188959E-01
   7117.00  1.1838488E-01
   7117.33  1.1674342E-01
   7117.67  1.1688219E-01
   7118.00  1.1915359E-01
   7118.33  1.2417935E-01
   7118.67  1.3147907E-01
   7119.00  1.4071491E-01
   7119.33  1.5213323E-01
   7119.67  1.6482968E-01
   7120.00  1.7609697E-01
   7120.33  1.8223748E-01
   7120.67  1.8541556E-01
   7121.00  1.8928985E-01
   7121.33  1.9723336E-01
   7121.67  2.0985733E-01
   7122.00  2.2719819E-01
   7122.33  2.4904490E-01
   7122.67  2.7325540E-01
   7123.00  2.9756519E-01
   7123.33  3.1836090E-01
   7123.67  3.3358456E-01
   7124.00  3.4300319E-01
   7124.33  3.4826644E-01
   7124.67  3.5317682E-01
   7125.00  3.6039994E-01
   7125.33  3.7269969E-01
   7125.67  3.9070739E-01
   7126.00  4.1482391E-01
   7126.33  4.4566238E-01
   7126.67  4.8157206E-01
   7127.00  5.2097413E-01
   7127.33  5.6106072E-01
   7127.67  5.9809717E-01
   7128.00  6.2848171E-01
   7128.33  6.4594430E-01
   7128.67  6.4812879E-01
   7129.00  6.3555834E-01
   7129.33  6.1326399E-01
   7129.67  5.9013048E-01
   7130.00  5.7064868E-01
   7130.33  5.5752222E-01
   7130.67  5.5001884E-01
   7131.00  5.4760493E-01
   7131.33  5.5033946E-01
   7131.67  5.5749752E-01
   7132.00  5.6917611E-01
   7132.33  5.8587353E-01
