    FDMNES
    energy     <xanes>
   7097.00  5.3900197E-03
   7097.33  5.5251611E-03
   7097.67  5.6667597E-03
   7098.00  5.8152678E-03
   7098.33  5.9722047E-03
   7098.67  6.1372840E-03
   7099.00  6.3111244E-03
   7099.33  6.4957252E-03
   7099.67  6.6907957E-03
   7100.00  6.8972042E-03
   7100.33  7.1176488E-03
   7100.67  7.3518648E-03
   7101.00  7.6011076E-03
   7101.33  7.8691272E-03
   7101.67  8.1557527E-03
   7102.00  8.4628627E-03
   7102.33  8.7958554E-03
   7102.67  9.1548007E-03
   7103.00  9.5426295E-03
   7103.33  9.9674474E-03
   7103.67  1.0429894E-02
   7104.00  1.0934779E-02
   7104.33  1.1494922E-02
   7104.67  1.2112303E-02
   7105.00  1.2795321E-02
   7105.33  1.3565636E-02
   7105.67  1.4428492E-02
   7106.00  1.5399800E-02
   7106.33  1.6519431E-02
   7106.67  1.7801263E-02
   7107.00  1.9278896E-02
   7107.33  2.1034935E-02
   7107.67  2.3109263E-02
   7108.00  2.5584868E-02
   7108.33  2.8665702E-02
   7108.67  3.2488729E-02
   7109.00  3.7316710E-02
   7109.33  4.3823247E-02
   7109.67  5.2667946E-02
   7110.00  6.5124096E-02
   7110.33  8.4702750E-02
   7110.67  1.1469173E-01
   7111.00  1.5601428E-01
   7111.33  2.0804006E-01
   7111.67  2.7980905E-01
   7112.00  3.7749468E-01
   7112.33  4.9914941E-01
   7112.67  6.2497607E-01
   7113.00  7.0813052E-01
   7113.33  6.7287828E-01
   7113.67  5.6205366E-01
   7114.00  4.4274432E-01
   7114.33  3.5372388E-01
   7114.67  2.9235169E-01
   7115.00  2.5243458E-01
   7115.33  2.2960464E-01
   7115.67  2.1757654E-01
   7116.00  2.1268491E-01
   7116.33  2.0928549E-01
   7116.67  2.0201796E-01
   7117.00  1.9000054E-01
   7117.33  1.7554547E-01
   7117.67  1.6217836E-01
   7118.00  1.5140992E-01
   7118.33  1.4381502E-01
   7118.67  1.3850068E-01
   7119.00  1.3484664E-01
   7119.33  1.3223812E-01
   7119.67  1.2993408E-01
   7120.00  1.2770723E-01
   7120.33  1.2590596E-01
   7120.67  1.2498477E-01
   7121.00  1.2494830E-01
   7121.33  1.2552404E-01
