    FDMNES
    energy     <xanes>
   7097.00  4.5630926E-03
   7097.33  4.6669885E-03
   7097.67  4.7755571E-03
   7098.00  4.8891170E-03
   7098.33  5.0087543E-03
   7098.67  5.1342517E-03
   7099.00  5.2660450E-03
   7099.33  5.4055582E-03
   7099.67  5.5525709E-03
   7100.00  5.7076947E-03
   7100.33  5.8728465E-03
   7100.67  6.0478253E-03
   7101.00  6.2335174E-03
   7101.33  6.4325845E-03
   7101.67  6.6448960E-03
   7102.00  6.8717833E-03
   7102.33  7.1170836E-03
   7102.67  7.3808479E-03
   7103.00  7.6651682E-03
   7103.33  7.9758323E-03
   7103.67  8.3133268E-03
   7104.00  8.6811216E-03
   7104.33  9.0884548E-03
   7104.67  9.5368540E-03
   7105.00  1.0032484E-02
   7105.33  1.0591193E-02
   7105.67  1.1217118E-02
   7106.00  1.1922234E-02
   7106.33  1.2736467E-02
   7106.67  1.3671109E-02
   7107.00  1.4752448E-02
   7107.33  1.6045078E-02
   7107.67  1.7583055E-02
   7108.00  1.9435291E-02
   7108.33  2.1772169E-02
   7108.67  2.4719547E-02
   7109.00  2.8516352E-02
   7109.33  3.3786442E-02
   7109.67  4.1201020E-02
   7110.00  5.2069136E-02
   7110.33  7.0129445E-02
   7110.67  9.9455364E-02
   7111.00  1.4179997E-01
   7111.33  1.8915881E-01
   7111.67  2.4007568E-01
   7112.00  2.8349077E-01
   7112.33  2.7856317E-01
   7112.67  2.5418810E-01
   7113.00  2.5617123E-01
   7113.33  3.1644906E-01
   7113.67  4.2337040E-01
   7114.00  5.0032839E-01
   7114.33  4.1919771E-01
   7114.67  2.9191717E-01
   7115.00  1.9707995E-01
   7115.33  1.4309371E-01
   7115.67  1.1102899E-01
   7116.00  9.2802338E-02
   7116.33  8.3600316E-02
   7116.67  7.7316889E-02
   7117.00  7.2307959E-02
   7117.33  7.0566623E-02
   7117.67  7.1786226E-02
   7118.00  7.4263732E-02
   7118.33  7.6698706E-02
   7118.67  7.9548059E-02
   7119.00  8.2883046E-02
   7119.33  8.5906847E-02
   7119.67  8.8713804E-02
   7120.00  9.2190398E-02
   7120.33  9.7559540E-02
   7120.67  1.0534318E-01
   7121.00  1.1601721E-01
   7121.33  1.2947677E-01
   7121.67  1.4342221E-01
   7122.00  1.5645290E-01
   7122.33  1.6850637E-01
   7122.67  1.8051800E-01
   7123.00  1.9310015E-01
   7123.33  2.0640100E-01
   7123.67  2.1917539E-01
   7124.00  2.2966865E-01
   7124.33  2.3673217E-01
   7124.67  2.4286175E-01
   7125.00  2.5077921E-01
   7125.33  2.6305268E-01
   7125.67  2.7982741E-01
   7126.00  3.0102111E-01
   7126.33  3.2685816E-01
   7126.67  3.5613478E-01
   7127.00  3.8756067E-01
   7127.33  4.1897523E-01
   7127.67  4.4836520E-01
   7128.00  4.7463811E-01
   7128.33  4.9679670E-01
   7128.67  5.1531490E-01
   7129.00  5.3059013E-01
   7129.33  5.4311339E-01
   7129.67  5.5398649E-01
   7130.00  5.6360472E-01
   7130.33  5.7181780E-01
   7130.67  5.7842358E-01
   7131.00  5.8305857E-01
   7131.33  5.8528449E-01
   7131.67  5.8563333E-01
   7132.00  5.8458558E-01
   7132.33  5.8249027E-01
   7132.67  5.7947588E-01
   7133.00  5.7521668E-01
   7133.33  5.6916774E-01
   7133.67  5.6162674E-01
   7134.00  5.5304761E-01
   7134.33  5.4401915E-01
   7134.67  5.3493818E-01
   7135.00  5.2570205E-01
   7135.33  5.1582581E-01
   7135.67  5.0509672E-01
   7136.00  4.9364915E-01
   7136.33  4.8202184E-01
   7136.67  4.7097676E-01
   7137.00  4.6111850E-01
   7137.33  4.5318245E-01
   7137.67  4.4732344E-01
   7138.00  4.4374604E-01
   7138.33  4.4285790E-01
   7138.67  4.4433902E-01
   7139.00  4.4807379E-01
   7139.33  4.5409081E-01
   7139.67  4.6186659E-01
   7140.00  4.7118822E-01
   7140.33  4.8205886E-01
   7140.67  4.9424217E-01
   7141.00  5.0774215E-01
   7141.33  5.2272150E-01
   7141.67  5.3890455E-01
   7142.00  5.5604674E-01
   7142.33  5.7375730E-01
   7142.67  5.9141370E-01
   7143.00  6.0855003E-01
   7143.33  6.2463913E-01
   7143.67  6.3958222E-01
   7144.00  6.5333784E-01
   7144.33  6.6583190E-01
   7144.67  6.7734262E-01
   7145.00  6.8802129E-01
   7145.33  6.9798655E-01
   7145.67  7.0751746E-01
   7146.00  7.1677379E-01
   7146.33  7.2590828E-01
   7146.67  7.3504236E-01
   7147.00  7.4420565E-01
   7147.33  7.5336547E-01
   7147.67  7.6241728E-01
   7148.00  7.7120753E-01
   7148.33  7.7941703E-01
   7148.67  7.8679374E-01
   7149.00  7.9304412E-01
   7149.33  7.9766136E-01
   7149.67  8.0056819E-01
   7150.00  8.0162929E-01
   7150.33  8.0057476E-01
   7150.67  7.9773437E-01
   7151.00  7.9327419E-01
   7151.33  7.8727827E-01
   7151.67  7.8019276E-01
   7152.00  7.7223904E-01
   7152.33  7.6355112E-01
   7152.67  7.5437237E-01
   7153.00  7.4480316E-01
   7153.33  7.3489182E-01
   7153.67  7.2474767E-01
   7154.00  7.1443144E-01
   7154.33  7.0400844E-01
   7154.67  6.9357514E-01
   7155.00  6.8320667E-01
   7155.33  6.7300665E-01
   7155.67  6.6303624E-01
   7156.00  6.5336142E-01
   7156.33  6.4410539E-01
   7156.67  6.3529309E-01
   7157.00  6.2697515E-01
   7157.33  6.1926281E-01
   7157.67  6.1210771E-01
   7158.00  6.0549436E-01
   7158.33  5.9943364E-01
   7158.67  5.9378841E-01
   7159.00  5.8848055E-01
   7159.33  5.8344166E-01
   7159.67  5.7854576E-01
   7160.00  5.7371892E-01
   7160.33  5.6888867E-01
   7160.67  5.6400100E-01
   7161.00  5.5902393E-01
   7161.33  5.5392264E-01
   7161.67  5.4870699E-01
   7162.00  5.4338560E-01
   7162.33  5.3796833E-01
   7162.67  5.3249366E-01
   7163.00  5.2698763E-01
   7163.33  5.2147801E-01
   7163.67  5.1598876E-01
   7164.00  5.1053543E-01
   7164.33  5.0513564E-01
   7164.67  4.9978916E-01
   7165.00  4.9449734E-01
   7165.33  4.8926484E-01
   7165.67  4.8408080E-01
   7166.00  4.7894144E-01
   7166.33  4.7384805E-01
   7166.67  4.6879322E-01
   7167.00  4.6377696E-01
   7167.33  4.5880745E-01
   7167.67  4.5388700E-01
   7168.00  4.4902662E-01
   7168.33  4.4425545E-01
   7168.67  4.3959098E-01
   7169.00  4.3506249E-01
   7169.33  4.3072835E-01
   7169.67  4.2660220E-01
   7170.00  4.2271101E-01
   7170.33  4.1911334E-01
   7170.67  4.1579711E-01
   7171.00  4.1277863E-01
   7171.33  4.1012481E-01
   7171.67  4.0784706E-01
   7172.00  4.0601672E-01
