    FDMNES
    energy     <xanes>
   7097.00  4.3207227E-03
   7097.33  4.4066492E-03
   7097.67  4.4957978E-03
   7098.00  4.5883574E-03
   7098.33  4.6850258E-03
   7098.67  4.7856134E-03
   7099.00  4.8903725E-03
   7099.33  5.0001906E-03
   7099.67  5.1148693E-03
   7100.00  5.2347559E-03
   7100.33  5.3610106E-03
   7100.67  5.4934387E-03
   7101.00  5.6325353E-03
   7101.33  5.7798704E-03
   7101.67  5.9352811E-03
   7102.00  6.0995053E-03
   7102.33  6.2747596E-03
   7102.67  6.4609792E-03
   7103.00  6.6593229E-03
   7103.33  6.8730934E-03
   7103.67  7.1024797E-03
   7104.00  7.3494259E-03
   7104.33  7.6192014E-03
   7104.67  7.9126391E-03
   7105.00  8.2332829E-03
   7105.33  8.5903209E-03
   7105.67  8.9862956E-03
   7106.00  9.4284010E-03
   7106.33  9.9346686E-03
   7106.67  1.0512653E-02
   7107.00  1.1179247E-02
   7107.33  1.1976115E-02
   7107.67  1.2928153E-02
   7108.00  1.4084203E-02
   7108.33  1.5566577E-02
   7108.67  1.7478321E-02
   7109.00  2.0013890E-02
   7109.33  2.3696945E-02
   7109.67  2.9164879E-02
   7110.00  3.7681403E-02
   7110.33  5.2898392E-02
   7110.67  7.8106961E-02
   7111.00  1.1013782E-01
   7111.33  1.2670907E-01
   7111.67  1.2934572E-01
   7112.00  1.3483406E-01
   7112.33  1.3889055E-01
   7112.67  1.3052238E-01
   7113.00  1.1295708E-01
   7113.33  9.6414876E-02
   7113.67  8.5597604E-02
   7114.00  7.4521414E-02
   7114.33  6.0887955E-02
   7114.67  5.0288992E-02
   7115.00  4.3678986E-02
   7115.33  4.0277375E-02
   7115.67  3.8756662E-02
   7116.00  3.8644146E-02
   7116.33  3.9740183E-02
   7116.67  4.1617862E-02
   7117.00  4.3943141E-02
   7117.33  4.6271130E-02
   7117.67  4.8437864E-02
   7118.00  5.0708386E-02
   7118.33  5.3735842E-02
   7118.67  5.8010156E-02
   7119.00  6.4008704E-02
   7119.33  7.2749100E-02
   7119.67  8.5038120E-02
   7120.00  1.0232240E-01
   7120.33  1.2775470E-01
   7120.67  1.6189532E-01
   7121.00  2.0173552E-01
   7121.33  2.3382077E-01
   7121.67  2.4934517E-01
   7122.00  2.5525340E-01
   7122.33  2.6522316E-01
   7122.67  2.8418402E-01
   7123.00  3.1180023E-01
   7123.33  3.4693215E-01
   7123.67  3.8702825E-01
   7124.00  4.3094901E-01
   7124.33  4.7707627E-01
   7124.67  5.2273857E-01
   7125.00  5.6619773E-01
   7125.33  6.0654133E-01
   7125.67  6.4513246E-01
   7126.00  6.8325458E-01
   7126.33  7.2132182E-01
   7126.67  7.5692898E-01
   7127.00  7.8754164E-01
   7127.33  8.1452771E-01
   7127.67  8.4335047E-01
   7128.00  8.7598258E-01
   7128.33  9.1119018E-01
   7128.67  9.4466538E-01
   7129.00  9.7210129E-01
   7129.33  9.8792952E-01
   7129.67  9.9110441E-01
   7130.00  9.8119005E-01
   7130.33  9.5755470E-01
   7130.67  9.2411259E-01
   7131.00  8.8418174E-01
   7131.33  8.4230739E-01
   7131.67  8.0312049E-01
   7132.00  7.6917433E-01
   7132.33  7.4240698E-01
   7132.67  7.2163772E-01
   7133.00  7.0600803E-01
   7133.33  6.9496569E-01
   7133.67  6.8672221E-01
   7134.00  6.7961102E-01
   7134.33  6.7112531E-01
   7134.67  6.6031604E-01
   7135.00  6.4800743E-01
   7135.33  6.3572109E-01
   7135.67  6.2415395E-01
   7136.00  6.1329552E-01
   7136.33  6.0299025E-01
   7136.67  5.9300448E-01
   7137.00  5.8327449E-01
   7137.33  5.7383799E-01
   7137.67  5.6473670E-01
   7138.00  5.5606907E-01
   7138.33  5.4799065E-01
   7138.67  5.4048369E-01
   7139.00  5.3355813E-01
   7139.33  5.2725342E-01
   7139.67  5.2142944E-01
   7140.00  5.1600435E-01
   7140.33  5.1092400E-01
   7140.67  5.0609552E-01
   7141.00  5.0152497E-01
   7141.33  4.9733481E-01
   7141.67  4.9363516E-01
   7142.00  4.9059457E-01
   7142.33  4.8851496E-01
   7142.67  4.8741751E-01
   7143.00  4.8730603E-01
   7143.33  4.8813044E-01
   7143.67  4.8947357E-01
   7144.00  4.9097666E-01
   7144.33  4.9213962E-01
   7144.67  4.9257189E-01
   7145.00  4.9200606E-01
   7145.33  4.9013284E-01
   7145.67  4.8708177E-01
   7146.00  4.8294621E-01
   7146.33  4.7781272E-01
   7146.67  4.7203048E-01
   7147.00  4.6579585E-01
   7147.33  4.5926232E-01
   7147.67  4.5259320E-01
   7148.00  4.4585878E-01
   7148.33  4.3909878E-01
   7148.67  4.3232882E-01
   7149.00  4.2554696E-01
   7149.33  4.1873995E-01
   7149.67  4.1189435E-01
   7150.00  4.0499460E-01
   7150.33  3.9801043E-01
   7150.67  3.9092581E-01
   7151.00  3.8371568E-01
   7151.33  3.7632912E-01
   7151.67  3.6875830E-01
   7152.00  3.6098983E-01
   7152.33  3.5300780E-01
   7152.67  3.4489087E-01
   7153.00  3.3673176E-01
   7153.33  3.2868237E-01
   7153.67  3.2089914E-01
   7154.00  3.1355156E-01
   7154.33  3.0693672E-01
   7154.67  3.0118629E-01
   7155.00  2.9646436E-01
   7155.33  2.9307188E-01
   7155.67  2.9095841E-01
   7156.00  2.9015635E-01
   7156.33  2.9080804E-01
   7156.67  2.9267648E-01
   7157.00  2.9565831E-01
   7157.33  2.9972247E-01
   7157.67  3.0457392E-01
   7158.00  3.1005578E-01
   7158.33  3.1604696E-01
   7158.67  3.2232328E-01
   7159.00  3.2875064E-01
   7159.33  3.3518546E-01
   7159.67  3.4149437E-01
   7160.00  3.4757254E-01
   7160.33  3.5327062E-01
   7160.67  3.5855103E-01
   7161.00  3.6337389E-01
   7161.33  3.6767237E-01
   7161.67  3.7153423E-01
   7162.00  3.7500535E-01
   7162.33  3.7811363E-01
   7162.67  3.8098056E-01
   7163.00  3.8367671E-01
   7163.33  3.8625917E-01
   7163.67  3.8879752E-01
   7164.00  3.9133068E-01
   7164.33  3.9389072E-01
   7164.67  3.9648577E-01
   7165.00  3.9911247E-01
   7165.33  4.0175700E-01
   7165.67  4.0439275E-01
   7166.00  4.0699569E-01
   7166.33  4.0953323E-01
   7166.67  4.1199586E-01
   7167.00  4.1437965E-01
   7167.33  4.1668557E-01
   7167.67  4.1894581E-01
   7168.00  4.2118904E-01
   7168.33  4.2345667E-01
   7168.67  4.2578544E-01
   7169.00  4.2820666E-01
   7169.33  4.3076646E-01
   7169.67  4.3347101E-01
   7170.00  4.3632916E-01
   7170.33  4.3935573E-01
   7170.67  4.4250750E-01
   7171.00  4.4573897E-01
   7171.33  4.4894523E-01
   7171.67  4.5193332E-01
   7172.00  4.5444195E-01
