    FDMNES
    energy     <xanes>
   7097.00  4.4656570E-03
   7097.33  4.5564629E-03
   7097.67  4.6509057E-03
   7098.00  4.7492166E-03
   7098.33  4.8522141E-03
   7098.67  4.9597089E-03
   7099.00  5.0720161E-03
   7099.33  5.1901976E-03
   7099.67  5.3140614E-03
   7100.00  5.4440497E-03
   7100.33  5.5815818E-03
   7100.67  5.7264815E-03
   7101.00  5.8793925E-03
   7101.33  6.0422799E-03
   7101.67  6.2150260E-03
   7102.00  6.3986082E-03
   7102.33  6.5958672E-03
   7102.67  6.8068393E-03
   7103.00  7.0330866E-03
   7103.33  7.2789397E-03
   7103.67  7.5448110E-03
   7104.00  7.8333583E-03
   7104.33  8.1516350E-03
   7104.67  8.5009774E-03
   7105.00  8.8862767E-03
   7105.33  9.3200305E-03
   7105.67  9.8059716E-03
   7106.00  1.0354059E-02
   7106.33  1.0989024E-02
   7106.67  1.1721474E-02
   7107.00  1.2574641E-02
   7107.33  1.3605469E-02
   7107.67  1.4847708E-02
   7108.00  1.6367160E-02
   7108.33  1.8327459E-02
   7108.67  2.0862542E-02
   7109.00  2.4223737E-02
   7109.33  2.9079080E-02
   7109.67  3.6209732E-02
   7110.00  4.7149516E-02
   7110.33  6.6311771E-02
   7110.67  9.8109437E-02
   7111.00  1.4192998E-01
   7111.33  1.8194328E-01
   7111.67  2.1347662E-01
   7112.00  2.3303297E-01
   7112.33  2.2137384E-01
   7112.67  1.8860894E-01
   7113.00  1.5055334E-01
   7113.33  1.2176068E-01
   7113.67  1.0463068E-01
   7114.00  9.3273390E-02
   7114.33  7.9404068E-02
   7114.67  6.5860856E-02
   7115.00  5.5024097E-02
   7115.33  4.7733904E-02
   7115.67  4.3060367E-02
   7116.00  4.0288736E-02
   7116.33  3.9007861E-02
   7116.67  3.8714218E-02
   7117.00  3.9168194E-02
   7117.33  4.0095485E-02
   7117.67  4.1140753E-02
   7118.00  4.2219461E-02
   7118.33  4.3469054E-02
   7118.67  4.5027043E-02
   7119.00  4.6965117E-02
   7119.33  4.9390314E-02
   7119.67  5.2354971E-02
   7120.00  5.6025395E-02
   7120.33  6.0796591E-02
   7120.67  6.6891005E-02
   7121.00  7.4667995E-02
   7121.33  8.4911259E-02
   7121.67  9.7954378E-02
   7122.00  1.1438158E-01
   7122.33  1.3545051E-01
   7122.67  1.6147780E-01
   7123.00  1.9324629E-01
   7123.33  2.3228194E-01
   7123.67  2.7768317E-01
   7124.00  3.2844166E-01
   7124.33  3.8285780E-01
   7124.67  4.3765467E-01
   7125.00  4.9014214E-01
   7125.33  5.3727864E-01
   7125.67  5.7859698E-01
   7126.00  6.1371053E-01
   7126.33  6.4168294E-01
   7126.67  6.6533711E-01
   7127.00  6.8886493E-01
   7127.33  7.1856593E-01
   7127.67  7.5737406E-01
   7128.00  8.0524706E-01
   7128.33  8.5641446E-01
   7128.67  8.9725913E-01
   7129.00  9.1673639E-01
   7129.33  9.1122861E-01
   7129.67  8.9418665E-01
   7130.00  8.7476818E-01
   7130.33  8.5839791E-01
   7130.67  8.4493189E-01
   7131.00  8.3276751E-01
   7131.33  8.2031535E-01
   7131.67  8.0725668E-01
   7132.00  7.9369713E-01
   7132.33  7.7937377E-01
   7132.67  7.6382870E-01
   7133.00  7.4659603E-01
   7133.33  7.2753960E-01
   7133.67  7.0823843E-01
   7134.00  6.9093782E-01
   7134.33  6.7886215E-01
   7134.67  6.7217097E-01
   7135.00  6.6947738E-01
   7135.33  6.6847892E-01
   7135.67  6.6728173E-01
   7136.00  6.6558509E-01
   7136.33  6.6410715E-01
   7136.67  6.6396216E-01
   7137.00  6.6606463E-01
   7137.33  6.7155354E-01
   7137.67  6.8038115E-01
   7138.00  6.9239974E-01
   7138.33  7.0714290E-01
   7138.67  7.2286563E-01
   7139.00  7.3788605E-01
   7139.33  7.4981468E-01
   7139.67  7.5755653E-01
   7140.00  7.6079560E-01
   7140.33  7.5971672E-01
   7140.67  7.5602674E-01
   7141.00  7.5073641E-01
   7141.33  7.4451010E-01
   7141.67  7.3771319E-01
   7142.00  7.3025919E-01
   7142.33  7.2175024E-01
   7142.67  7.1200322E-01
   7143.00  7.0084261E-01
   7143.33  6.8802976E-01
   7143.67  6.7385523E-01
   7144.00  6.5851350E-01
   7144.33  6.4219269E-01
   7144.67  6.2532045E-01
   7145.00  6.0813908E-01
   7145.33  5.9084888E-01
   7145.67  5.7362016E-01
   7146.00  5.5655977E-01
   7146.33  5.3979656E-01
   7146.67  5.2336738E-01
   7147.00  5.0731558E-01
   7147.33  4.9172882E-01
   7147.67  4.7658153E-01
   7148.00  4.6189036E-01
   7148.33  4.4772487E-01
   7148.67  4.3402849E-01
   7149.00  4.2079488E-01
   7149.33  4.0805981E-01
   7149.67  3.9573614E-01
   7150.00  3.8379039E-01
   7150.33  3.7221674E-01
   7150.67  3.6092141E-01
   7151.00  3.4986620E-01
   7151.33  3.3905315E-01
   7151.67  3.2846399E-01
   7152.00  3.1814171E-01
   7152.33  3.0822982E-01
   7152.67  2.9882965E-01
