    FDMNES
    energy     <xanes>
   7097.00  5.1286408E-03
   7097.33  5.2469740E-03
   7097.67  5.3705912E-03
   7098.00  5.4998440E-03
   7098.33  5.6359444E-03
   7098.67  5.7786335E-03
   7099.00  5.9283867E-03
   7099.33  6.0867800E-03
   7099.67  6.2535436E-03
   7100.00  6.4293380E-03
   7100.33  6.6162622E-03
   7100.67  6.8140567E-03
   7101.00  7.0236654E-03
   7101.33  7.2479670E-03
   7101.67  7.4867582E-03
   7102.00  7.7414359E-03
   7102.33  8.0160885E-03
   7102.67  8.3106711E-03
   7103.00  8.6273404E-03
   7103.33  8.9721547E-03
   7103.67  9.3454598E-03
   7104.00  9.7507624E-03
   7104.33  1.0197531E-02
   7104.67  1.0687052E-02
   7105.00  1.1225415E-02
   7105.33  1.1828468E-02
   7105.67  1.2499843E-02
   7106.00  1.3251068E-02
   7106.33  1.4111220E-02
   7106.67  1.5090300E-02
   7107.00  1.6212886E-02
   7107.33  1.7539724E-02
   7107.67  1.9100784E-02
   7108.00  2.0958521E-02
   7108.33  2.3267631E-02
   7108.67  2.6137549E-02
   7109.00  2.9778686E-02
   7109.33  3.4740085E-02
   7109.67  4.1601050E-02
   7110.00  5.1495383E-02
   7110.33  6.7634403E-02
   7110.67  9.3222241E-02
   7111.00  1.2872421E-01
   7111.33  1.6616182E-01
   7111.67  2.0192176E-01
   7112.00  2.3989515E-01
   7112.33  2.8096920E-01
   7112.67  3.1009990E-01
   7113.00  3.2554506E-01
   7113.33  3.4725769E-01
   7113.67  3.8256424E-01
   7114.00  4.1993904E-01
   7114.33  4.3075463E-01
   7114.67  4.0713684E-01
   7115.00  3.6430432E-01
   7115.33  3.2439425E-01
   7115.67  2.9578789E-01
   7116.00  2.7765739E-01
   7116.33  2.6551823E-01
   7116.67  2.5293064E-01
   7117.00  2.3647669E-01
   7117.33  2.1491484E-01
   7117.67  1.9298898E-01
   7118.00  1.7489671E-01
   7118.33  1.6291487E-01
   7118.67  1.5514796E-01
   7119.00  1.4980215E-01
   7119.33  1.4553022E-01
   7119.67  1.4204355E-01
   7120.00  1.3979373E-01
   7120.33  1.3938687E-01
   7120.67  1.4054201E-01
   7121.00  1.4285532E-01
   7121.33  1.4571680E-01
   7121.67  1.4834251E-01
   7122.00  1.5037999E-01
   7122.33  1.5225198E-01
   7122.67  1.5522228E-01
   7123.00  1.6058907E-01
   7123.33  1.6998192E-01
   7123.67  1.8302737E-01
   7124.00  1.9894197E-01
   7124.33  2.1747353E-01
   7124.67  2.3863154E-01
   7125.00  2.6219708E-01
   7125.33  2.8645875E-01
   7125.67  3.0925344E-01
   7126.00  3.3018961E-01
   7126.33  3.5037948E-01
   7126.67  3.7112993E-01
   7127.00  3.9241700E-01
   7127.33  4.1310905E-01
   7127.67  4.3234187E-01
   7128.00  4.5028765E-01
   7128.33  4.6801763E-01
   7128.67  4.8652952E-01
   7129.00  5.0612437E-01
   7129.33  5.2687468E-01
   7129.67  5.4867063E-01
   7130.00  5.7171214E-01
   7130.33  5.9631846E-01
   7130.67  6.2215199E-01
   7131.00  6.4888319E-01
   7131.33  6.7611929E-01
   7131.67  7.0344633E-01
   7132.00  7.3076219E-01
   7132.33  7.5822230E-01
   7132.67  7.8599218E-01
   7133.00  8.1396016E-01
   7133.33  8.4128280E-01
   7133.67  8.6640611E-01
   7134.00  8.8726261E-01
   7134.33  8.9986073E-01
   7134.67  9.0189528E-01
   7135.00  8.9170053E-01
   7135.33  8.6877348E-01
   7135.67  8.3811479E-01
   7136.00  8.0338095E-01
   7136.33  7.6788065E-01
   7136.67  7.3370931E-01
   7137.00  7.0169246E-01
   7137.33  6.7255276E-01
   7137.67  6.4617970E-01
   7138.00  6.2276455E-01
   7138.33  6.0296279E-01
   7138.67  5.8657625E-01
