    FDMNES
    energy     <xanes>
   7097.00  5.4405148E-03
   7097.33  5.5809072E-03
   7097.67  5.7280980E-03
   7098.00  5.8825615E-03
   7098.33  6.0458933E-03
   7098.67  6.2177877E-03
   7099.00  6.3988902E-03
   7099.33  6.5912937E-03
   7099.67  6.7946828E-03
   7100.00  7.0099575E-03
   7100.33  7.2399285E-03
   7100.67  7.4842982E-03
   7101.00  7.7443573E-03
   7101.33  8.0239855E-03
   7101.67  8.3229644E-03
   7102.00  8.6432056E-03
   7102.33  8.9902424E-03
   7102.67  9.3640690E-03
   7103.00  9.7676279E-03
   7103.33  1.0209126E-02
   7103.67  1.0689065E-02
   7104.00  1.1212192E-02
   7104.33  1.1791278E-02
   7104.67  1.2428009E-02
   7105.00  1.3130503E-02
   7105.33  1.3919873E-02
   7105.67  1.4800655E-02
   7106.00  1.5787807E-02
   7106.33  1.6919105E-02
   7106.67  1.8206432E-02
   7107.00  1.9680288E-02
   7107.33  2.1416037E-02
   7107.67  2.3446991E-02
   7108.00  2.5845158E-02
   7108.33  2.8787580E-02
   7108.67  3.2384547E-02
   7109.00  3.6851747E-02
   7109.33  4.2739050E-02
   7109.67  5.0556310E-02
   7110.00  6.1291469E-02
   7110.33  7.7634239E-02
   7110.67  1.0186140E-01
   7111.00  1.3397010E-01
   7111.33  1.7368165E-01
   7111.67  2.3050089E-01
   7112.00  3.0984793E-01
   7112.33  3.9892357E-01
   7112.67  4.9738652E-01
   7113.00  6.4698823E-01
   7113.33  8.5987389E-01
   7113.67  9.6860141E-01
   7114.00  8.5488107E-01
   7114.33  6.4471923E-01
   7114.67  4.6996506E-01
   7115.00  3.4804176E-01
   7115.33  2.7224073E-01
   7115.67  2.2295311E-01
   7116.00  1.9177045E-01
   7116.33  1.7436228E-01
   7116.67  1.6597826E-01
   7117.00  1.6476780E-01
   7117.33  1.6876767E-01
   7117.67  1.7420575E-01
   7118.00  1.7908088E-01
   7118.33  1.8230347E-01
   7118.67  1.8419047E-01
   7119.00  1.8523661E-01
   7119.33  1.8507739E-01
   7119.67  1.8322073E-01
   7120.00  1.8005204E-01
   7120.33  1.7655139E-01
   7120.67  1.7342282E-01
   7121.00  1.7107795E-01
   7121.33  1.7042322E-01
   7121.67  1.7239178E-01
   7122.00  1.7788896E-01
   7122.33  1.8780003E-01
   7122.67  2.0052037E-01
   7123.00  2.1327779E-01
   7123.33  2.2170203E-01
   7123.67  2.2497052E-01
   7124.00  2.2450223E-01
   7124.33  2.2230512E-01
   7124.67  2.1998283E-01
   7125.00  2.1830796E-01
   7125.33  2.1818455E-01
   7125.67  2.1995017E-01
   7126.00  2.2380756E-01
   7126.33  2.3007628E-01
   7126.67  2.3842095E-01
   7127.00  2.4869625E-01
   7127.33  2.6091359E-01
   7127.67  2.7467088E-01
   7128.00  2.8986876E-01
   7128.33  3.0672845E-01
   7128.67  3.2536410E-01
   7129.00  3.4627175E-01
   7129.33  3.7055530E-01
   7129.67  3.9856508E-01
   7130.00  4.3071354E-01
   7130.33  4.6711087E-01
   7130.67  5.0524105E-01
   7131.00  5.4150130E-01
   7131.33  5.6930344E-01
   7131.67  5.8563738E-01
   7132.00  5.9130291E-01
   7132.33  5.9084081E-01
   7132.67  5.9069288E-01
   7133.00  5.9405221E-01
   7133.33  6.0320402E-01
   7133.67  6.1766752E-01
   7134.00  6.3677534E-01
   7134.33  6.5928260E-01
   7134.67  6.8226701E-01
   7135.00  7.0292696E-01
   7135.33  7.1713672E-01
   7135.67  7.2310741E-01
   7136.00  7.2015001E-01
   7136.33  7.0813316E-01
   7136.67  6.8987349E-01
   7137.00  6.6709689E-01
   7137.33  6.4165945E-01
   7137.67  6.1618967E-01
   7138.00  5.9256926E-01
   7138.33  5.7285235E-01
   7138.67  5.5740815E-01
   7139.00  5.4630326E-01
   7139.33  5.3959267E-01
   7139.67  5.3609356E-01
   7140.00  5.3519627E-01
   7140.33  5.3657548E-01
   7140.67  5.3961885E-01
   7141.00  5.4420534E-01
   7141.33  5.5055763E-01
   7141.67  5.5856255E-01
   7142.00  5.6820004E-01
   7142.33  5.7934742E-01
   7142.67  5.9118102E-01
   7143.00  6.0290195E-01
   7143.33  6.1339902E-01
   7143.67  6.2209761E-01
   7144.00  6.2877376E-01
   7144.33  6.3335548E-01
   7144.67  6.3650153E-01
   7145.00  6.3866895E-01
   7145.33  6.4032520E-01
   7145.67  6.4195150E-01
   7146.00  6.4379797E-01
   7146.33  6.4607935E-01
   7146.67  6.4881028E-01
   7147.00  6.5198710E-01
   7147.33  6.5561539E-01
   7147.67  6.5957899E-01
   7148.00  6.6381681E-01
   7148.33  6.6828788E-01
   7148.67  6.7290820E-01
   7149.00  6.7763535E-01
   7149.33  6.8243383E-01
   7149.67  6.8725192E-01
   7150.00  6.9204524E-01
   7150.33  6.9673644E-01
   7150.67  7.0125268E-01
   7151.00  7.0551130E-01
   7151.33  7.0937809E-01
   7151.67  7.1282608E-01
   7152.00  7.1581420E-01
   7152.33  7.1827388E-01
   7152.67  7.2029936E-01
   7153.00  7.2194903E-01
   7153.33  7.2326979E-01
   7153.67  7.2437862E-01
   7154.00  7.2532944E-01
   7154.33  7.2614260E-01
   7154.67  7.2683326E-01
   7155.00  7.2736860E-01
   7155.33  7.2764838E-01
   7155.67  7.2760197E-01
   7156.00  7.2712522E-01
   7156.33  7.2601085E-01
   7156.67  7.2418814E-01
   7157.00  7.2154193E-01
   7157.33  7.1784219E-01
   7157.67  7.1312873E-01
   7158.00  7.0736977E-01
   7158.33  7.0043885E-01
   7158.67  6.9251078E-01
   7159.00  6.8365092E-01
   7159.33  6.7385256E-01
   7159.67  6.6332948E-01
   7160.00  6.5217732E-01
   7160.33  6.4043961E-01
   7160.67  6.2828516E-01
   7161.00  6.1579761E-01
   7161.33  6.0304163E-01
   7161.67  5.9014739E-01
   7162.00  5.7720340E-01
   7162.33  5.6431655E-01
   7162.67  5.5158011E-01
   7163.00  5.3907706E-01
   7163.33  5.2693487E-01
   7163.67  5.1518639E-01
   7164.00  5.0388155E-01
   7164.33  4.9312323E-01
   7164.67  4.8287652E-01
   7165.00  4.7315226E-01
   7165.33  4.6401674E-01
   7165.67  4.5539531E-01
   7166.00  4.4727458E-01
   7166.33  4.3969486E-01
   7166.67  4.3257303E-01
   7167.00  4.2588823E-01
   7167.33  4.1966784E-01
   7167.67  4.1383762E-01
   7168.00  4.0838074E-01
   7168.33  4.0332372E-01
   7168.67  3.9859514E-01
   7169.00  3.9415817E-01
   7169.33  3.9001222E-01
   7169.67  3.8610804E-01
   7170.00  3.8243396E-01
   7170.33  3.7900620E-01
   7170.67  3.7579300E-01
   7171.00  3.7280010E-01
   7171.33  3.7008709E-01
   7171.67  3.6769533E-01
   7172.00  3.6572940E-01
