    FDMNES
    energy     <xanes>
   7097.00  5.0255221E-03
   7097.33  5.1421875E-03
   7097.67  5.2640182E-03
   7098.00  5.3913558E-03
   7098.33  5.5253821E-03
   7098.67  5.6658418E-03
   7099.00  5.8131974E-03
   7099.33  5.9689851E-03
   7099.67  6.1329400E-03
   7100.00  6.3057054E-03
   7100.33  6.4893286E-03
   7100.67  6.6835567E-03
   7101.00  6.8893120E-03
   7101.33  7.1094068E-03
   7101.67  7.3436484E-03
   7102.00  7.5934077E-03
   7102.33  7.8626924E-03
   7102.67  8.1514767E-03
   7103.00  8.4618922E-03
   7103.33  8.7999111E-03
   7103.67  9.1659209E-03
   7104.00  9.5634220E-03
   7104.33  1.0001833E-02
   7104.67  1.0482543E-02
   7105.00  1.1011718E-02
   7105.33  1.1605335E-02
   7105.67  1.2267322E-02
   7106.00  1.3009576E-02
   7106.33  1.3861987E-02
   7106.67  1.4835508E-02
   7107.00  1.5956160E-02
   7107.33  1.7288110E-02
   7107.67  1.8864848E-02
   7108.00  2.0754684E-02
   7108.33  2.3126950E-02
   7108.67  2.6107020E-02
   7109.00  2.9933630E-02
   7109.33  3.5232067E-02
   7109.67  4.2680935E-02
   7110.00  5.3607780E-02
   7110.33  7.1831282E-02
   7110.67  1.0171381E-01
   7111.00  1.4610770E-01
   7111.33  1.9269660E-01
   7111.67  2.1752465E-01
   7112.00  2.3941040E-01
   7112.33  2.8472010E-01
   7112.67  3.2827289E-01
   7113.00  3.4640559E-01
   7113.33  3.3375914E-01
   7113.67  2.8650368E-01
   7114.00  2.2613365E-01
   7114.33  1.8546928E-01
   7114.67  1.6465885E-01
   7115.00  1.6004200E-01
   7115.33  1.7149315E-01
   7115.67  1.9844348E-01
   7116.00  2.4323154E-01
   7116.33  3.0564242E-01
   7116.67  3.6574666E-01
   7117.00  4.0419120E-01
   7117.33  4.1709038E-01
   7117.67  4.0726606E-01
   7118.00  3.7000682E-01
   7118.33  3.1659486E-01
   7118.67  2.6807604E-01
   7119.00  2.3128467E-01
   7119.33  2.0668724E-01
   7119.67  1.8904795E-01
   7120.00  1.7584557E-01
   7120.33  1.6652335E-01
   7120.67  1.6037064E-01
   7121.00  1.5699697E-01
   7121.33  1.5616343E-01
   7121.67  1.5717953E-01
   7122.00  1.6005275E-01
   7122.33  1.6594298E-01
   7122.67  1.7565716E-01
   7123.00  1.8930191E-01
   7123.33  2.0595711E-01
   7123.67  2.2373177E-01
   7124.00  2.4187431E-01
   7124.33  2.6021982E-01
   7124.67  2.7858468E-01
   7125.00  2.9628984E-01
   7125.33  3.1190625E-01
   7125.67  3.2513127E-01
   7126.00  3.3646592E-01
   7126.33  3.4682701E-01
   7126.67  3.5709940E-01
   7127.00  3.6763698E-01
   7127.33  3.7863690E-01
   7127.67  3.9020832E-01
   7128.00  4.0250693E-01
   7128.33  4.1585278E-01
   7128.67  4.3142557E-01
   7129.00  4.5093595E-01
   7129.33  4.7570985E-01
   7129.67  5.0430435E-01
