    FDMNES
    energy     <xanes>
   7097.00  4.4127814E-03
   7097.33  4.5021371E-03
   7097.67  4.5950239E-03
   7098.00  4.6916632E-03
   7098.33  4.7928440E-03
   7098.67  4.8983785E-03
   7099.00  5.0085672E-03
   7099.33  5.1244309E-03
   7099.67  5.2457781E-03
   7100.00  5.3730300E-03
   7100.33  5.5075467E-03
   7100.67  5.6491512E-03
   7101.00  5.7984555E-03
   7101.33  5.9573386E-03
   7101.67  6.1256785E-03
   7102.00  6.3044048E-03
   7102.33  6.4962298E-03
   7102.67  6.7011794E-03
   7103.00  6.9207419E-03
   7103.33  7.1590528E-03
   7103.67  7.4165034E-03
   7104.00  7.6956362E-03
   7104.33  8.0032048E-03
   7104.67  8.3405078E-03
   7105.00  8.7122577E-03
   7105.33  9.1304954E-03
   7105.67  9.5989023E-03
   7106.00  1.0127182E-02
   7106.33  1.0739427E-02
   7106.67  1.1446259E-02
   7107.00  1.2270692E-02
   7107.33  1.3269167E-02
   7107.67  1.4476118E-02
   7108.00  1.5958221E-02
   7108.33  1.7881733E-02
   7108.67  2.0386493E-02
   7109.00  2.3734466E-02
   7109.33  2.8625599E-02
   7109.67  3.5895682E-02
   7110.00  4.7190831E-02
   7110.33  6.7304704E-02
   7110.67  1.0144347E-01
   7111.00  1.5052267E-01
   7111.33  1.9568481E-01
   7111.67  2.0661037E-01
   7112.00  1.7903652E-01
   7112.33  1.5667385E-01
   7112.67  1.4085311E-01
   7113.00  1.1876148E-01
   7113.33  9.6401478E-02
   7113.67  7.9110613E-02
   7114.00  6.8612943E-02
   7114.33  6.4112555E-02
   7114.67  5.8612935E-02
   7115.00  5.0403179E-02
   7115.33  4.4282698E-02
   7115.67  4.1187748E-02
   7116.00  4.0418590E-02
   7116.33  4.1565817E-02
   7116.67  4.3886505E-02
   7117.00  4.6650380E-02
   7117.33  4.8932122E-02
   7117.67  5.0949519E-02
   7118.00  5.3525935E-02
   7118.33  5.7528304E-02
   7118.67  6.3038224E-02
   7119.00  7.0086543E-02
