    FDMNES
    energy     <xanes>
   7097.00  4.0755847E-03
   7097.33  4.1620960E-03
   7097.67  4.2523315E-03
   7098.00  4.3465435E-03
   7098.33  4.4455957E-03
   7098.67  4.5493145E-03
   7099.00  4.6580471E-03
   7099.33  4.7729293E-03
   7099.67  4.8937886E-03
   7100.00  5.0211171E-03
   7100.33  5.1564522E-03
   7100.67  5.2996451E-03
   7101.00  5.4514172E-03
   7101.33  5.6139236E-03
   7101.67  5.7870874E-03
   7102.00  5.9720114E-03
   7102.33  6.1718452E-03
   7102.67  6.3866932E-03
   7103.00  6.6183259E-03
   7103.33  6.8715883E-03
   7103.67  7.1470192E-03
   7104.00  7.4476389E-03
   7104.33  7.7813919E-03
   7104.67  8.1498726E-03
   7105.00  8.5586433E-03
   7105.33  9.0218402E-03
   7105.67  9.5437799E-03
   7106.00  1.0135780E-02
   7106.33  1.0825864E-02
   7106.67  1.1626139E-02
   7107.00  1.2562967E-02
   7107.33  1.3700899E-02
   7107.67  1.5078255E-02
   7108.00  1.6769669E-02
   7108.33  1.8960751E-02
   7108.67  2.1803723E-02
   7109.00  2.5584391E-02
   7109.33  3.1063505E-02
   7109.67  3.9134542E-02
   7110.00  5.1554869E-02
   7110.33  7.3393332E-02
   7110.67  1.0975194E-01
   7111.00  1.5997451E-01
   7111.33  2.0421788E-01
   7111.67  2.2932990E-01
   7112.00  2.3330617E-01
   7112.33  2.2161975E-01
   7112.67  2.0871475E-01
   7113.00  1.9754106E-01
   7113.33  1.8139654E-01
   7113.67  1.5861153E-01
   7114.00  1.3451335E-01
   7114.33  1.1430039E-01
   7114.67  9.8250633E-02
   7115.00  8.5800063E-02
   7115.33  7.6677307E-02
   7115.67  7.0072974E-02
   7116.00  6.5703999E-02
   7116.33  6.3426004E-02
   7116.67  6.2590197E-02
   7117.00  6.2891453E-02
   7117.33  6.4233973E-02
   7117.67  6.6534296E-02
   7118.00  7.0009571E-02
   7118.33  7.5126545E-02
   7118.67  8.1651943E-02
   7119.00  8.8981759E-02
   7119.33  9.6034314E-02
   7119.67  1.0240771E-01
   7120.00  1.0811637E-01
   7120.33  1.1329071E-01
   7120.67  1.1867668E-01
   7121.00  1.2470905E-01
   7121.33  1.3157153E-01
   7121.67  1.3929976E-01
   7122.00  1.4824782E-01
   7122.33  1.5905940E-01
   7122.67  1.7176768E-01
   7123.00  1.8652413E-01
   7123.33  2.0394043E-01
   7123.67  2.2434909E-01
   7124.00  2.4837164E-01
   7124.33  2.7652763E-01
   7124.67  3.0704578E-01
   7125.00  3.3766766E-01
   7125.33  3.6443613E-01
   7125.67  3.8428846E-01
   7126.00  3.9571847E-01
   7126.33  3.9920672E-01
   7126.67  3.9933978E-01
   7127.00  3.9907664E-01
