    FDMNES
    energy     <xanes>
   7097.00  3.9275827E-03
   7097.33  4.0005697E-03
   7097.67  4.0762007E-03
   7098.00  4.1546321E-03
   7098.33  4.2364399E-03
   7098.67  4.3214716E-03
   7099.00  4.4099385E-03
   7099.33  4.5025773E-03
   7099.67  4.5992316E-03
   7100.00  4.7001950E-03
   7100.33  4.8064394E-03
   7100.67  4.9178157E-03
   7101.00  5.0347487E-03
   7101.33  5.1585671E-03
   7101.67  5.2891573E-03
   7102.00  5.4271604E-03
   7102.33  5.5744772E-03
   7102.67  5.7310915E-03
   7103.00  5.8980251E-03
   7103.33  6.0781510E-03
   7103.67  6.2716973E-03
   7104.00  6.4804017E-03
   7104.33  6.7089189E-03
   7104.67  6.9580851E-03
   7105.00  7.2311066E-03
   7105.33  7.5362189E-03
   7105.67  7.8758542E-03
   7106.00  8.2565792E-03
   7106.33  8.6947464E-03
   7106.67  9.1974178E-03
   7107.00  9.7800654E-03
   7107.33  1.0480683E-02
   7107.67  1.1322129E-02
   7108.00  1.2348892E-02
   7108.33  1.3671896E-02
   7108.67  1.5383642E-02
   7109.00  1.7657791E-02
   7109.33  2.0958452E-02
   7109.67  2.5838694E-02
   7110.00  3.3387439E-02
   7110.33  4.6731085E-02
   7110.67  6.8775587E-02
   7111.00  9.8058949E-02
   7111.33  1.2277795E-01
   7111.67  1.4053146E-01
   7112.00  1.4999880E-01
   7112.33  1.4096044E-01
   7112.67  1.1398952E-01
   7113.00  8.4222697E-02
   7113.33  6.3945331E-02
   7113.67  5.1437037E-02
   7114.00  4.4422807E-02
   7114.33  4.1104675E-02
   7114.67  3.8512759E-02
   7115.00  3.4998718E-02
   7115.33  3.1535229E-02
   7115.67  2.9425252E-02
   7116.00  2.8536019E-02
   7116.33  2.8594867E-02
   7116.67  2.9261379E-02
   7117.00  3.0417252E-02
   7117.33  3.2025854E-02
   7117.67  3.4004448E-02
   7118.00  3.6381996E-02
   7118.33  3.9299367E-02
   7118.67  4.2694294E-02
   7119.00  4.6372253E-02
   7119.33  5.0100793E-02
   7119.67  5.3836637E-02
   7120.00  5.7482067E-02
   7120.33  6.0768629E-02
   7120.67  6.3630064E-02
   7121.00  6.6152147E-02
   7121.33  6.8589328E-02
   7121.67  7.1340393E-02
