    FDMNES
    energy     <xanes>
   7097.00  4.4567249E-03
   7097.33  4.5526838E-03
   7097.67  4.6528231E-03
   7098.00  4.7574249E-03
   7098.33  4.8674565E-03
   7098.67  4.9827206E-03
   7099.00  5.1036036E-03
   7099.33  5.2313732E-03
   7099.67  5.3658306E-03
   7100.00  5.5075197E-03
   7100.33  5.6581486E-03
   7100.67  5.8175387E-03
   7101.00  5.9864816E-03
   7101.33  6.1673555E-03
   7101.67  6.3600508E-03
   7102.00  6.5657654E-03
   7102.33  6.7879441E-03
   7102.67  7.0266555E-03
   7103.00  7.2837994E-03
   7103.33  7.5646143E-03
   7103.67  7.8695973E-03
   7104.00  8.2019427E-03
   7104.33  8.5701156E-03
   7104.67  8.9756517E-03
   7105.00  9.4243329E-03
   7105.33  9.9309513E-03
   7105.67  1.0499699E-02
   7106.00  1.1142103E-02
   7106.33  1.1886854E-02
   7106.67  1.2745650E-02
   7107.00  1.3744730E-02
   7107.33  1.4948493E-02
   7107.67  1.6393537E-02
   7108.00  1.8152262E-02
   7108.33  2.0404616E-02
   7108.67  2.3293729E-02
   7109.00  2.7089854E-02
   7109.33  3.2510336E-02
   7109.67  4.0383358E-02
   7110.00  5.2337699E-02
   7110.33  7.3038395E-02
   7110.67  1.0692266E-01
   7111.00  1.5254162E-01
   7111.33  1.9277788E-01
   7111.67  2.2024213E-01
   7112.00  2.3419791E-01
   7112.33  2.4302820E-01
   7112.67  2.5917565E-01
   7113.00  2.6941724E-01
   7113.33  2.4503442E-01
   7113.67  2.0072254E-01
   7114.00  1.6549212E-01
   7114.33  1.5331009E-01
   7114.67  1.5407181E-01
   7115.00  1.5621980E-01
   7115.33  1.6084990E-01
   7115.67  1.7551292E-01
   7116.00  1.8855222E-01
   7116.33  1.7304593E-01
   7116.67  1.4417041E-01
   7117.00  1.2028012E-01
   7117.33  1.0703977E-01
   7117.67  1.0080061E-01
   7118.00  9.9167278E-02
   7118.33  9.9807083E-02
   7118.67  1.0109358E-01
   7119.00  1.0301637E-01
   7119.33  1.0569275E-01
   7119.67  1.1001914E-01
   7120.00  1.1701823E-01
   7120.33  1.2625374E-01
   7120.67  1.3418656E-01
   7121.00  1.3774845E-01
   7121.33  1.3752333E-01
   7121.67  1.3776312E-01
   7122.00  1.4021577E-01
   7122.33  1.4567170E-01
   7122.67  1.5379975E-01
   7123.00  1.6455506E-01
   7123.33  1.7805867E-01
   7123.67  1.9360108E-01
   7124.00  2.1081935E-01
   7124.33  2.2960648E-01
   7124.67  2.4929996E-01
   7125.00  2.6901647E-01
   7125.33  2.8729691E-01
   7125.67  3.0347702E-01
   7126.00  3.1771563E-01
   7126.33  3.3096481E-01
   7126.67  3.4443863E-01
   7127.00  3.5835827E-01
   7127.33  3.7209493E-01
   7127.67  3.8485816E-01
   7128.00  3.9611988E-01
   7128.33  4.0517034E-01
   7128.67  4.1213190E-01
   7129.00  4.1736543E-01
   7129.33  4.2156394E-01
   7129.67  4.2567802E-01
   7130.00  4.3034051E-01
   7130.33  4.3648907E-01
   7130.67  4.4469264E-01
   7131.00  4.5526327E-01
   7131.33  4.6816019E-01
   7131.67  4.8209267E-01
   7132.00  4.9575685E-01
   7132.33  5.0728776E-01
   7132.67  5.1567365E-01
   7133.00  5.2047822E-01
   7133.33  5.2166971E-01
   7133.67  5.2078562E-01
   7134.00  5.1912188E-01
   7134.33  5.1828493E-01
   7134.67  5.1939591E-01
   7135.00  5.2307147E-01
   7135.33  5.2969359E-01
   7135.67  5.3816092E-01
   7136.00  5.4726473E-01
   7136.33  5.5530852E-01
   7136.67  5.6126392E-01
   7137.00  5.6484602E-01
   7137.33  5.6631413E-01
   7137.67  5.6693766E-01
   7138.00  5.6769124E-01
   7138.33  5.6965146E-01
   7138.67  5.7331355E-01
   7139.00  5.7897326E-01
   7139.33  5.8698487E-01
   7139.67  5.9694128E-01
   7140.00  6.0855256E-01
   7140.33  6.2147697E-01
   7140.67  6.3498601E-01
   7141.00  6.4857035E-01
   7141.33  6.6164523E-01
   7141.67  6.7385740E-01
   7142.00  6.8495664E-01
   7142.33  6.9458617E-01
   7142.67  7.0279760E-01
   7143.00  7.0955664E-01
   7143.33  7.1473641E-01
   7143.67  7.1867540E-01
   7144.00  7.2160694E-01
   7144.33  7.2380570E-01
   7144.67  7.2573466E-01
   7145.00  7.2766390E-01
   7145.33  7.2981894E-01
   7145.67  7.3227091E-01
   7146.00  7.3502407E-01
   7146.33  7.3801200E-01
   7146.67  7.4101112E-01
   7147.00  7.4378692E-01
   7147.33  7.4595050E-01
   7147.67  7.4722494E-01
   7148.00  7.4732564E-01
   7148.33  7.4579390E-01
   7148.67  7.4263032E-01
   7149.00  7.3777811E-01
   7149.33  7.3109005E-01
   7149.67  7.2294841E-01
   7150.00  7.1358188E-01
   7150.33  7.0319586E-01
   7150.67  6.9223987E-01
   7151.00  6.8098968E-01
   7151.33  6.6972584E-01
   7151.67  6.5867550E-01
   7152.00  6.4798395E-01
   7152.33  6.3783182E-01
   7152.67  6.2824127E-01
   7153.00  6.1925430E-01
   7153.33  6.1096843E-01
   7153.67  6.0330407E-01
   7154.00  5.9624937E-01
   7154.33  5.8985544E-01
   7154.67  5.8401994E-01
   7155.00  5.7871418E-01
   7155.33  5.7396165E-01
   7155.67  5.6965852E-01
   7156.00  5.6576629E-01
   7156.33  5.6228491E-01
   7156.67  5.5912452E-01
   7157.00  5.5625102E-01
   7157.33  5.5366220E-01
   7157.67  5.5129930E-01
   7158.00  5.4914443E-01
   7158.33  5.4720539E-01
   7158.67  5.4544404E-01
   7159.00  5.4384652E-01
   7159.33  5.4240844E-01
   7159.67  5.4108171E-01
   7160.00  5.3982975E-01
   7160.33  5.3859758E-01
   7160.67  5.3731163E-01
   7161.00  5.3589417E-01
   7161.33  5.3422554E-01
   7161.67  5.3226591E-01
   7162.00  5.2997407E-01
   7162.33  5.2727780E-01
   7162.67  5.2422501E-01
   7163.00  5.2084339E-01
   7163.33  5.1714853E-01
