    FDMNES
    energy     <xanes>
   7097.00  4.4255255E-03
   7097.33  4.5156809E-03
   7097.67  4.6094363E-03
   7098.00  4.7070190E-03
   7098.33  4.8092364E-03
   7098.67  4.9158986E-03
   7099.00  5.0273145E-03
   7099.33  5.1445295E-03
   7099.67  5.2673500E-03
   7100.00  5.3962089E-03
   7100.33  5.5325000E-03
   7100.67  5.6760443E-03
   7101.00  5.8274704E-03
   7101.33  5.9887038E-03
   7101.67  6.1596213E-03
   7102.00  6.3411756E-03
   7102.33  6.5361449E-03
   7102.67  6.7445545E-03
   7103.00  6.9679262E-03
   7103.33  7.2104887E-03
   7103.67  7.4726339E-03
   7104.00  7.7569521E-03
   7104.33  8.0703287E-03
   7104.67  8.4140628E-03
   7105.00  8.7929328E-03
   7105.33  9.2191599E-03
   7105.67  9.6964177E-03
   7106.00  1.0234489E-02
   7106.33  1.0857681E-02
   7106.67  1.1576566E-02
   7107.00  1.2414195E-02
   7107.33  1.3427151E-02
   7107.67  1.4649621E-02
   7108.00  1.6148075E-02
   7108.33  1.8088370E-02
   7108.67  2.0609618E-02
   7109.00  2.3973167E-02
   7109.33  2.8879106E-02
   7109.67  3.6168226E-02
   7110.00  4.7501655E-02
   7110.33  6.7705474E-02
   7110.67  1.0165476E-01
   7111.00  1.4774276E-01
   7111.33  1.7981783E-01
   7111.67  1.8951486E-01
   7112.00  1.8393495E-01
   7112.33  1.7104215E-01
   7112.67  1.6207050E-01
   7113.00  1.5519391E-01
   7113.33  1.4340375E-01
   7113.67  1.2439395E-01
   7114.00  1.0295005E-01
   7114.33  8.5155222E-02
   7114.67  7.0992319E-02
   7115.00  6.0123316E-02
   7115.33  5.2381012E-02
   7115.67  4.6737171E-02
   7116.00  4.2853298E-02
   7116.33  4.0541151E-02
   7116.67  3.9315477E-02
   7117.00  3.8986371E-02
   7117.33  3.9522288E-02
   7117.67  4.0777813E-02
   7118.00  4.2755294E-02
   7118.33  4.5637365E-02
   7118.67  4.9542398E-02
   7119.00  5.4742374E-02
   7119.33  6.1751441E-02
   7119.67  7.0464619E-02
   7120.00  8.0486462E-02
   7120.33  9.0591140E-02
   7120.67  1.0000201E-01
   7121.00  1.1000739E-01
   7121.33  1.2385649E-01
   7121.67  1.4334284E-01
   7122.00  1.6952996E-01
   7122.33  2.0335713E-01
   7122.67  2.4203981E-01
