    FDMNES
    energy     <xanes>
   7097.00  5.2678486E-03
   7097.33  5.3947865E-03
   7097.67  5.5276779E-03
   7098.00  5.6669413E-03
   7098.33  5.8139810E-03
   7098.67  5.9685374E-03
   7099.00  6.1311868E-03
   7099.33  6.3037858E-03
   7099.67  6.4860771E-03
   7100.00  6.6788774E-03
   7100.33  6.8847096E-03
   7100.67  7.1033537E-03
   7101.00  7.3360056E-03
   7101.33  7.5862081E-03
   7101.67  7.8538556E-03
   7102.00  8.1407679E-03
   7102.33  8.4521200E-03
   7102.67  8.7880909E-03
   7103.00  9.1515829E-03
   7103.33  9.5505267E-03
   7103.67  9.9857755E-03
   7104.00  1.0462231E-02
   7104.33  1.0992795E-02
   7104.67  1.1579938E-02
   7105.00  1.2232557E-02
   7105.33  1.2973301E-02
   7105.67  1.3808736E-02
   7106.00  1.4756589E-02
   7106.33  1.5860834E-02
   7106.67  1.7139449E-02
   7107.00  1.8632520E-02
   7107.33  2.0438150E-02
   7107.67  2.2611334E-02
   7108.00  2.5260734E-02
   7108.33  2.8654995E-02
   7108.67  3.3001521E-02
   7109.00  3.8690260E-02
   7109.33  4.6742864E-02
   7109.67  5.8287611E-02
   7110.00  7.5522440E-02
   7110.33  1.0475839E-01
   7110.67  1.5310814E-01
   7111.00  2.2450624E-01
   7111.33  3.0327986E-01
   7111.67  3.7218878E-01
   7112.00  4.3796549E-01
   7112.33  4.7658395E-01
   7112.67  4.5420983E-01
   7113.00  3.8445009E-01
   7113.33  3.0636441E-01
   7113.67  2.4623981E-01
   7114.00  2.0834211E-01
   7114.33  1.9001045E-01
   7114.67  1.8186654E-01
   7115.00  1.8027497E-01
   7115.33  1.8425791E-01
   7115.67  1.8714302E-01
   7116.00  1.8183536E-01
   7116.33  1.6781505E-01
   7116.67  1.5332538E-01
   7117.00  1.4247741E-01
   7117.33  1.3671903E-01
   7117.67  1.3430184E-01
   7118.00  1.3361876E-01
   7118.33  1.3272779E-01
   7118.67  1.3066712E-01
   7119.00  1.2807523E-01
   7119.33  1.2665071E-01
   7119.67  1.2722404E-01
   7120.00  1.3000923E-01
   7120.33  1.3529315E-01
   7120.67  1.4280715E-01
   7121.00  1.5258759E-01
   7121.33  1.6493947E-01
   7121.67  1.7949814E-01
   7122.00  1.9607684E-01
   7122.33  2.1452403E-01
   7122.67  2.3415745E-01
   7123.00  2.5452857E-01
   7123.33  2.7517049E-01
   7123.67  2.9557732E-01
   7124.00  3.1526441E-01
   7124.33  3.3334127E-01
   7124.67  3.4943161E-01
   7125.00  3.6373918E-01
   7125.33  3.7783097E-01
   7125.67  3.9445421E-01
   7126.00  4.1602276E-01
   7126.33  4.4533905E-01
   7126.67  4.8196330E-01
   7127.00  5.2496218E-01
   7127.33  5.7252494E-01
   7127.67  6.2111805E-01
   7128.00  6.6819544E-01
   7128.33  7.1118518E-01
   7128.67  7.4960663E-01
   7129.00  7.8305267E-01
   7129.33  8.0964333E-01
   7129.67  8.2801747E-01
   7130.00  8.3644835E-01
   7130.33  8.3351824E-01
   7130.67  8.2294461E-01
   7131.00  8.0803181E-01
   7131.33  7.9219653E-01
   7131.67  7.7766672E-01
   7132.00  7.6508347E-01
   7132.33  7.5448130E-01
   7132.67  7.4497221E-01
   7133.00  7.3590693E-01
   7133.33  7.2662134E-01
   7133.67  7.1671439E-01
   7134.00  7.0600637E-01
   7134.33  6.9436856E-01
   7134.67  6.8201536E-01
   7135.00  6.6910594E-01
   7135.33  6.5581869E-01
   7135.67  6.4243028E-01
   7136.00  6.2914681E-01
