    FDMNES
    energy     <xanes>
   7097.00  4.9682277E-03
   7097.33  5.0894433E-03
   7097.67  5.2165438E-03
   7098.00  5.3499556E-03
   7098.33  5.4910876E-03
   7098.67  5.6396999E-03
   7099.00  5.7963824E-03
   7099.33  5.9630100E-03
   7099.67  6.1393483E-03
   7100.00  6.3262368E-03
   7100.33  6.5262385E-03
   7100.67  6.7391612E-03
   7101.00  6.9662375E-03
   7101.33  7.2110850E-03
   7101.67  7.4736328E-03
   7102.00  7.7557598E-03
   7102.33  8.0627702E-03
   7102.67  8.3948878E-03
   7103.00  8.7551079E-03
   7103.33  9.1515747E-03
   7103.67  9.5851986E-03
   7104.00  1.0061023E-02
   7104.33  1.0592287E-02
   7104.67  1.1181522E-02
   7105.00  1.1837826E-02
   7105.33  1.2584323E-02
   7105.67  1.3427597E-02
   7106.00  1.4385566E-02
   7106.33  1.5502654E-02
   7106.67  1.6796504E-02
   7107.00  1.8306897E-02
   7107.33  2.0131073E-02
   7107.67  2.2321598E-02
   7108.00  2.4983242E-02
   7108.33  2.8373981E-02
   7108.67  3.2684796E-02
   7109.00  3.8275388E-02
   7109.33  4.6078446E-02
   7109.67  5.7079206E-02
   7110.00  7.3183093E-02
   7110.33  9.9788736E-02
   7110.67  1.4289844E-01
   7111.00  2.0685199E-01
   7111.33  2.8845504E-01
   7111.67  3.8210881E-01
   7112.00  4.7697387E-01
   7112.33  5.3174249E-01
   7112.67  5.2470936E-01
   7113.00  4.7716493E-01
   7113.33  4.2499706E-01
   7113.67  3.7233623E-01
   7114.00  3.1370520E-01
   7114.33  2.5468730E-01
   7114.67  2.0550242E-01
   7115.00  1.7078393E-01
   7115.33  1.5152548E-01
   7115.67  1.4006240E-01
   7116.00  1.3051739E-01
   7116.33  1.2031754E-01
   7116.67  1.0956138E-01
   7117.00  9.9498265E-02
   7117.33  9.2131598E-02
   7117.67  8.7613579E-02
   7118.00  8.5596550E-02
   7118.33  8.5599344E-02
   7118.67  8.6687602E-02
   7119.00  8.8666485E-02
   7119.33  9.2042410E-02
   7119.67  9.6804522E-02
   7120.00  1.0227558E-01
   7120.33  1.0668189E-01
   7120.67  1.0951195E-01
   7121.00  1.1168869E-01
   7121.33  1.1465314E-01
   7121.67  1.1945251E-01
   7122.00  1.2695716E-01
   7122.33  1.3834515E-01
   7122.67  1.5327930E-01
   7123.00  1.7087280E-01
   7123.33  1.8941927E-01
   7123.67  2.0768583E-01
   7124.00  2.2538463E-01
   7124.33  2.4255496E-01
   7124.67  2.6019019E-01
   7125.00  2.7912535E-01
   7125.33  2.9927968E-01
   7125.67  3.1901066E-01
   7126.00  3.3636894E-01
   7126.33  3.4814790E-01
   7126.67  3.5320540E-01
   7127.00  3.5191002E-01
   7127.33  3.4659591E-01
   7127.67  3.4132798E-01
   7128.00  3.3851479E-01
   7128.33  3.4023215E-01
   7128.67  3.4654606E-01
   7129.00  3.5739879E-01
   7129.33  3.7275633E-01
   7129.67  3.9118263E-01
   7130.00  4.1167031E-01
   7130.33  4.3338615E-01
   7130.67  4.5594890E-01
   7131.00  4.7950514E-01
   7131.33  5.0348939E-01
   7131.67  5.2548201E-01
   7132.00  5.4254283E-01
   7132.33  5.5137439E-01
   7132.67  5.5325660E-01
   7133.00  5.5042941E-01
   7133.33  5.4603775E-01
