    FDMNES
    energy     <xanes>
   7097.00  4.4984203E-03
   7097.33  4.6004204E-03
   7097.67  4.7071338E-03
   7098.00  4.8188947E-03
   7098.33  4.9368198E-03
   7098.67  5.0607083E-03
   7099.00  5.1910223E-03
   7099.33  5.3292436E-03
   7099.67  5.4751758E-03
   7100.00  5.6294772E-03
   7100.33  5.7941702E-03
   7100.67  5.9690933E-03
   7101.00  6.1552156E-03
   7101.33  6.3553923E-03
   7101.67  6.5695631E-03
   7102.00  6.7992131E-03
   7102.33  7.0485402E-03
   7102.67  7.3177328E-03
   7103.00  7.6091787E-03
   7103.33  7.9293659E-03
   7103.67  8.2790710E-03
   7104.00  8.6623701E-03
   7104.33  9.0899344E-03
   7104.67  9.5639643E-03
   7105.00  1.0091964E-02
   7105.33  1.0692954E-02
   7105.67  1.1372803E-02
   7106.00  1.2146773E-02
   7106.33  1.3052620E-02
   7106.67  1.4106738E-02
   7107.00  1.5344741E-02
   7107.33  1.6853865E-02
   7107.67  1.8686311E-02
   7108.00  2.0943742E-02
   7108.33  2.3879796E-02
   7108.67  2.7706170E-02
   7109.00  3.2822054E-02
   7109.33  4.0300763E-02
   7109.67  5.1441975E-02
   7110.00  6.8820305E-02
   7110.33  9.9775087E-02
   7110.67  1.4988816E-01
   7111.00  2.0912845E-01
   7111.33  2.3796682E-01
   7111.67  2.5120070E-01
   7112.00  2.7192504E-01
   7112.33  3.0782276E-01
   7112.67  3.5127119E-01
   7113.00  3.6852972E-01
   7113.33  3.1661328E-01
   7113.67  2.3384877E-01
   7114.00  1.6898581E-01
   7114.33  1.3642112E-01
   7114.67  1.2497652E-01
   7115.00  1.2797549E-01
   7115.33  1.3140932E-01
   7115.67  1.2861581E-01
   7116.00  1.3115602E-01
   7116.33  1.4619226E-01
   7116.67  1.5432380E-01
   7117.00  1.4103843E-01
   7117.33  1.2084176E-01
   7117.67  1.0818627E-01
   7118.00  1.0403793E-01
   7118.33  1.0693403E-01
   7118.67  1.1197593E-01
   7119.00  1.1519110E-01
   7119.33  1.1579196E-01
   7119.67  1.1706158E-01
   7120.00  1.2065467E-01
   7120.33  1.2519812E-01
   7120.67  1.2850611E-01
   7121.00  1.3143822E-01
   7121.33  1.3502256E-01
   7121.67  1.3862986E-01
   7122.00  1.4175334E-01
   7122.33  1.4508557E-01
   7122.67  1.4973811E-01
   7123.00  1.5579973E-01
   7123.33  1.6240581E-01
   7123.67  1.6866526E-01
   7124.00  1.7476736E-01
   7124.33  1.8175734E-01
   7124.67  1.9009983E-01
   7125.00  1.9953129E-01
   7125.33  2.0926645E-01
   7125.67  2.1859099E-01
   7126.00  2.2748865E-01
   7126.33  2.3677631E-01
   7126.67  2.4757321E-01
   7127.00  2.6069840E-01
   7127.33  2.7685624E-01
   7127.67  2.9532114E-01
   7128.00  3.1541687E-01
   7128.33  3.3674572E-01
   7128.67  3.5922829E-01
   7129.00  3.8316647E-01
   7129.33  4.0871842E-01
   7129.67  4.3452988E-01
   7130.00  4.5833059E-01
   7130.33  4.7591512E-01
   7130.67  4.8557378E-01
   7131.00  4.8764813E-01
   7131.33  4.8418046E-01
   7131.67  4.7871125E-01
   7132.00  4.7290664E-01
   7132.33  4.6789657E-01
   7132.67  4.6417853E-01
   7133.00  4.6211111E-01
   7133.33  4.6214501E-01
   7133.67  4.6400823E-01
   7134.00  4.6759073E-01
   7134.33  4.7312275E-01
   7134.67  4.8053088E-01
   7135.00  4.8981490E-01
   7135.33  5.0080508E-01
   7135.67  5.1257682E-01
   7136.00  5.2434212E-01
   7136.33  5.3510499E-01
   7136.67  5.4432454E-01
   7137.00  5.5173753E-01
   7137.33  5.5714844E-01
   7137.67  5.6106903E-01
   7138.00  5.6388438E-01
   7138.33  5.6606582E-01
   7138.67  5.6824597E-01
   7139.00  5.7084916E-01
   7139.33  5.7433570E-01
   7139.67  5.7882710E-01
   7140.00  5.8444095E-01
   7140.33  5.9143308E-01
   7140.67  5.9971678E-01
   7141.00  6.0929044E-01
   7141.33  6.2017685E-01
   7141.67  6.3194627E-01
   7142.00  6.4423422E-01
   7142.33  6.5651861E-01
   7142.67  6.6827408E-01
   7143.00  6.7913373E-01
   7143.33  6.8867931E-01
   7143.67  6.9697797E-01
   7144.00  7.0410769E-01
   7144.33  7.1015741E-01
   7144.67  7.1550640E-01
   7145.00  7.2036270E-01
   7145.33  7.2487847E-01
   7145.67  7.2921936E-01
   7146.00  7.3345709E-01
   7146.33  7.3764868E-01
   7146.67  7.4185689E-01
   7147.00  7.4613263E-01
   7147.33  7.5053937E-01
   7147.67  7.5507467E-01
   7148.00  7.5970826E-01
   7148.33  7.6434788E-01
   7148.67  7.6881916E-01
   7149.00  7.7289935E-01
   7149.33  7.7615898E-01
   7149.67  7.7829704E-01
   7150.00  7.7897387E-01
   7150.33  7.7762139E-01
   7150.67  7.7423375E-01
   7151.00  7.6873196E-01
   7151.33  7.6090087E-01
   7151.67  7.5116435E-01
   7152.00  7.3974210E-01
   7152.33  7.2675959E-01
   7152.67  7.1270628E-01
   7153.00  6.9785557E-01
   7153.33  6.8245405E-01
   7153.67  6.6685045E-01
   7154.00  6.5127058E-01
   7154.33  6.3597904E-01
   7154.67  6.2113899E-01
   7155.00  6.0688574E-01
   7155.33  5.9343219E-01
   7155.67  5.8078897E-01
   7156.00  5.6901926E-01
   7156.33  5.5827498E-01
   7156.67  5.4844775E-01
   7157.00  5.3952572E-01
   7157.33  5.3159344E-01
   7157.67  5.2450954E-01
   7158.00  5.1824681E-01
   7158.33  5.1287549E-01
   7158.67  5.0827441E-01
   7159.00  5.0443171E-01
   7159.33  5.0143426E-01
   7159.67  4.9918392E-01
   7160.00  4.9767163E-01
   7160.33  4.9695771E-01
   7160.67  4.9690242E-01
   7161.00  4.9743710E-01
   7161.33  4.9850492E-01
   7161.67  4.9989612E-01
   7162.00  5.0146169E-01
   7162.33  5.0301274E-01
   7162.67  5.0436785E-01
   7163.00  5.0539495E-01
   7163.33  5.0591945E-01
   7163.67  5.0592135E-01
   7164.00  5.0538046E-01
   7164.33  5.0425099E-01
   7164.67  5.0264622E-01
   7165.00  5.0062794E-01
   7165.33  4.9824634E-01
   7165.67  4.9564279E-01
   7166.00  4.9290493E-01
   7166.33  4.9012389E-01
   7166.67  4.8738795E-01
   7167.00  4.8475569E-01
   7167.33  4.8229780E-01
