    FDMNES
    energy     <xanes>
   7097.00  4.8677480E-03
   7097.33  4.9787209E-03
   7097.67  5.0945200E-03
   7098.00  5.2154612E-03
   7098.33  5.3426436E-03
   7098.67  5.4758243E-03
   7099.00  5.6154308E-03
   7099.33  5.7628888E-03
   7099.67  5.9179466E-03
   7100.00  6.0811979E-03
   7100.33  6.2545402E-03
   7100.67  6.4377321E-03
   7101.00  6.6316246E-03
   7101.33  6.8388207E-03
   7101.67  7.0591342E-03
   7102.00  7.2938300E-03
   7102.33  7.5466131E-03
   7102.67  7.8174516E-03
   7103.00  8.1083116E-03
   7103.33  8.4247108E-03
   7103.67  8.7669984E-03
   7104.00  9.1384035E-03
   7104.33  9.5476232E-03
   7104.67  9.9959326E-03
   7105.00  1.0489019E-02
   7105.33  1.1041630E-02
   7105.67  1.1657384E-02
   7106.00  1.2347253E-02
   7106.33  1.3138818E-02
   7106.67  1.4042167E-02
   7107.00  1.5081285E-02
   7107.33  1.6315323E-02
   7107.67  1.7775082E-02
   7108.00  1.9523415E-02
   7108.33  2.1716078E-02
   7108.67  2.4468019E-02
   7109.00  2.7998137E-02
   7109.33  3.2879293E-02
   7109.67  3.9730884E-02
   7110.00  4.9761891E-02
   7110.33  6.6404529E-02
   7110.67  9.3157067E-02
   7111.00  1.3090752E-01
   7111.33  1.7348485E-01
   7111.67  2.1985682E-01
   7112.00  2.6884744E-01
   7112.33  2.9049164E-01
   7112.67  2.6523166E-01
   7113.00  2.2036548E-01
   7113.33  1.9465753E-01
   7113.67  1.9305291E-01
   7114.00  2.1531303E-01
   7114.33  2.6506346E-01
   7114.67  3.3217361E-01
   7115.00  3.9298475E-01
   7115.33  3.9471875E-01
   7115.67  3.3435118E-01
   7116.00  2.5750160E-01
   7116.33  2.0161697E-01
   7116.67  1.6543763E-01
   7117.00  1.4335419E-01
   7117.33  1.3151488E-01
   7117.67  1.2597783E-01
   7118.00  1.2541024E-01
   7118.33  1.2871892E-01
   7118.67  1.3302265E-01
   7119.00  1.3578071E-01
   7119.33  1.3522109E-01
   7119.67  1.3330167E-01
   7120.00  1.3200808E-01
   7120.33  1.3235392E-01
