    FDMNES
    energy     <xanes>
   7097.00  4.7432671E-03
   7097.33  4.8515390E-03
   7097.67  4.9646013E-03
   7098.00  5.0827753E-03
   7098.33  5.2071650E-03
   7098.67  5.3375409E-03
   7099.00  5.4743411E-03
   7099.33  5.6190090E-03
   7099.67  5.7713106E-03
   7100.00  5.9318605E-03
   7100.33  6.1025967E-03
   7100.67  6.2833048E-03
   7101.00  6.4748754E-03
   7101.33  6.6799960E-03
   7101.67  6.8985250E-03
   7102.00  7.1318038E-03
   7102.33  7.3837085E-03
   7102.67  7.6542892E-03
   7103.00  7.9456642E-03
   7103.33  8.2637013E-03
   7103.67  8.6089161E-03
   7104.00  8.9848570E-03
   7104.33  9.4009634E-03
   7104.67  9.8588877E-03
   7105.00  1.0365034E-02
   7105.33  1.0935835E-02
   7105.67  1.1575865E-02
   7106.00  1.2297878E-02
   7106.33  1.3133673E-02
   7106.67  1.4096144E-02
   7107.00  1.5214354E-02
   7107.33  1.6559749E-02
   7107.67  1.8173039E-02
   7108.00  2.0134873E-02
   7108.33  2.2646089E-02
   7108.67  2.5867773E-02
   7109.00  3.0104440E-02
   7109.33  3.6166980E-02
   7109.67  4.5001500E-02
   7110.00  5.8473281E-02
   7110.33  8.1950330E-02
   7110.67  1.2062908E-01
   7111.00  1.7278322E-01
   7111.33  2.1483014E-01
   7111.67  2.3731804E-01
   7112.00  2.5079561E-01
   7112.33  2.5550299E-01
   7112.67  2.4447107E-01
   7113.00  2.2433143E-01
   7113.33  2.0716395E-01
   7113.67  1.9948563E-01
   7114.00  2.0682029E-01
   7114.33  2.3311926E-01
   7114.67  2.6585511E-01
   7115.00  2.8827621E-01
   7115.33  2.8595522E-01
   7115.67  2.6063278E-01
   7116.00  2.2266077E-01
   7116.33  1.8934134E-01
   7116.67  1.6633573E-01
   7117.00  1.5262036E-01
   7117.33  1.4628603E-01
   7117.67  1.4391221E-01
   7118.00  1.4353645E-01
   7118.33  1.4298527E-01
   7118.67  1.4080754E-01
   7119.00  1.3721275E-01
   7119.33  1.3332776E-01
   7119.67  1.3001722E-01
   7120.00  1.2788940E-01
   7120.33  1.2799084E-01
   7120.67  1.3036768E-01
   7121.00  1.3482706E-01
   7121.33  1.4152551E-01
   7121.67  1.5041664E-01
   7122.00  1.6162051E-01
   7122.33  1.7534238E-01
   7122.67  1.9108454E-01
   7123.00  2.0883039E-01
   7123.33  2.2939561E-01
   7123.67  2.5330791E-01
   7124.00  2.8107438E-01
   7124.33  3.1249523E-01
   7124.67  3.4432484E-01
   7125.00  3.7295459E-01
   7125.33  3.9530202E-01
   7125.67  4.1323236E-01
   7126.00  4.2898289E-01
   7126.33  4.4423235E-01
   7126.67  4.5921091E-01
   7127.00  4.7299211E-01
   7127.33  4.8369038E-01
   7127.67  4.9101846E-01
   7128.00  4.9599645E-01
   7128.33  5.0181375E-01
   7128.67  5.1235078E-01
   7129.00  5.2998654E-01
   7129.33  5.5536143E-01
   7129.67  5.8428176E-01
   7130.00  6.1248564E-01
   7130.33  6.3431947E-01
   7130.67  6.4748561E-01
   7131.00  6.5207035E-01
   7131.33  6.5026374E-01
   7131.67  6.4684102E-01
   7132.00  6.4467893E-01
   7132.33  6.4604966E-01
   7132.67  6.5119587E-01
   7133.00  6.6016522E-01
   7133.33  6.7303617E-01
   7133.67  6.8810654E-01
   7134.00  7.0324205E-01
   7134.33  7.1530744E-01
   7134.67  7.2314194E-01
   7135.00  7.2653864E-01
   7135.33  7.2475326E-01
   7135.67  7.1794016E-01
   7136.00  7.0600930E-01
   7136.33  6.8910789E-01
   7136.67  6.6930958E-01
   7137.00  6.4828915E-01
   7137.33  6.2809471E-01
   7137.67  6.1022554E-01
   7138.00  5.9557370E-01
   7138.33  5.8504198E-01
   7138.67  5.7808210E-01
   7139.00  5.7432874E-01
   7139.33  5.7352294E-01
   7139.67  5.7472121E-01
   7140.00  5.7744270E-01
   7140.33  5.8133423E-01
   7140.67  5.8583123E-01
   7141.00  5.9054784E-01
   7141.33  5.9492158E-01
   7141.67  5.9837389E-01
   7142.00  6.0036432E-01
   7142.33  6.0015686E-01
   7142.67  5.9779713E-01
   7143.00  5.9339694E-01
   7143.33  5.8715047E-01
   7143.67  5.7981199E-01
   7144.00  5.7186162E-01
   7144.33  5.6377020E-01
   7144.67  5.5593173E-01
   7145.00  5.4858779E-01
   7145.33  5.4202828E-01
   7145.67  5.3630415E-01
   7146.00  5.3149548E-01
   7146.33  5.2778275E-01
   7146.67  5.2507192E-01
   7147.00  5.2336458E-01
   7147.33  5.2276244E-01
   7147.67  5.2310129E-01
   7148.00  5.2432834E-01
   7148.33  5.2646565E-01
   7148.67  5.2932341E-01
   7149.00  5.3282470E-01
   7149.33  5.3695570E-01
   7149.67  5.4157383E-01
   7150.00  5.4661923E-01
   7150.33  5.5206389E-01
   7150.67  5.5778748E-01
   7151.00  5.6372200E-01
   7151.33  5.6979483E-01
   7151.67  5.7589584E-01
   7152.00  5.8195671E-01
   7152.33  5.8790524E-01
   7152.67  5.9371117E-01
   7153.00  5.9935041E-01
   7153.33  6.0478341E-01
   7153.67  6.1001903E-01
   7154.00  6.1503650E-01
   7154.33  6.1975573E-01
   7154.67  6.2412707E-01
   7155.00  6.2804591E-01
   7155.33  6.3127697E-01
   7155.67  6.3370827E-01
   7156.00  6.3516687E-01
   7156.33  6.3531025E-01
   7156.67  6.3411410E-01
   7157.00  6.3146821E-01
   7157.33  6.2711175E-01
   7157.67  6.2124080E-01
   7158.00  6.1392986E-01
   7158.33  6.0518106E-01
   7158.67  5.9537848E-01
   7159.00  5.8474855E-01
   7159.33  5.7350582E-01
   7159.67  5.6200206E-01
   7160.00  5.5046738E-01
   7160.33  5.3916584E-01
   7160.67  5.2827122E-01
   7161.00  5.1792247E-01
   7161.33  5.0831858E-01
   7161.67  4.9943737E-01
   7162.00  4.9129251E-01
   7162.33  4.8395257E-01
   7162.67  4.7727771E-01
   7163.00  4.7121103E-01
   7163.33  4.6574795E-01
   7163.67  4.6075260E-01
   7164.00  4.5617212E-01
   7164.33  4.5199940E-01
   7164.67  4.4814647E-01
   7165.00  4.4458343E-01
   7165.33  4.4131487E-01
   7165.67  4.3828567E-01
   7166.00  4.3547965E-01
   7166.33  4.3290679E-01
   7166.67  4.3052787E-01
   7167.00  4.2833207E-01
   7167.33  4.2632679E-01
   7167.67  4.2447385E-01
   7168.00  4.2275441E-01
   7168.33  4.2115732E-01
   7168.67  4.1964219E-01
   7169.00  4.1818457E-01
   7169.33  4.1675943E-01
   7169.67  4.1533716E-01
   7170.00  4.1390015E-01
   7170.33  4.1243332E-01
   7170.67  4.1094247E-01
   7171.00  4.0944556E-01
   7171.33  4.0799345E-01
   7171.67  4.0666320E-01
   7172.00  4.0555287E-01
