    FDMNES
    energy     <xanes>
   7097.00  4.7004111E-03
   7097.33  4.8088350E-03
   7097.67  4.9223109E-03
   7098.00  5.0411973E-03
   7098.33  5.1666923E-03
   7098.67  5.2985809E-03
   7099.00  5.4373590E-03
   7099.33  5.5846160E-03
   7099.67  5.7401418E-03
   7100.00  5.9046423E-03
   7100.33  6.0802863E-03
   7100.67  6.2669007E-03
   7101.00  6.4655243E-03
   7101.33  6.6792180E-03
   7101.67  6.9079161E-03
   7102.00  7.1532093E-03
   7102.33  7.4195955E-03
   7102.67  7.7072728E-03
   7103.00  8.0187963E-03
   7103.33  8.3611103E-03
   7103.67  8.7350367E-03
   7104.00  9.1449291E-03
   7104.33  9.6021898E-03
   7104.67  1.0109145E-02
   7105.00  1.0673785E-02
   7105.33  1.1316373E-02
   7105.67  1.2043083E-02
   7106.00  1.2870080E-02
   7106.33  1.3837357E-02
   7106.67  1.4962007E-02
   7107.00  1.6281375E-02
   7107.33  1.7886820E-02
   7107.67  1.9831844E-02
   7108.00  2.2220949E-02
   7108.33  2.5313638E-02
   7108.67  2.9319822E-02
   7109.00  3.4633938E-02
   7109.33  4.2303094E-02
   7109.67  5.3543632E-02
   7110.00  7.0743467E-02
   7110.33  1.0073496E-01
   7110.67  1.4999782E-01
   7111.00  2.1648133E-01
   7111.33  2.7778843E-01
   7111.67  3.2864828E-01
   7112.00  3.6387158E-01
   7112.33  3.6303207E-01
   7112.67  3.3247902E-01
   7113.00  2.8745179E-01
   7113.33  2.4218225E-01
   7113.67  2.0456929E-01
   7114.00  1.7742894E-01
   7114.33  1.6252567E-01
   7114.67  1.5819752E-01
   7115.00  1.6371953E-01
   7115.33  1.7487385E-01
   7115.67  1.7988189E-01
   7116.00  1.7161513E-01
   7116.33  1.5387544E-01
   7116.67  1.3717977E-01
   7117.00  1.2493229E-01
   7117.33  1.1746973E-01
   7117.67  1.1284034E-01
   7118.00  1.1004221E-01
   7118.33  1.0877696E-01
   7118.67  1.0909833E-01
   7119.00  1.1142682E-01
   7119.33  1.1603251E-01
   7119.67  1.2168897E-01
   7120.00  1.2748986E-01
   7120.33  1.3396095E-01
   7120.67  1.4176076E-01
   7121.00  1.5011209E-01
   7121.33  1.5732582E-01
   7121.67  1.6388265E-01
   7122.00  1.7118956E-01
   7122.33  1.8046945E-01
   7122.67  1.9180874E-01
   7123.00  2.0513118E-01
   7123.33  2.2010037E-01
   7123.67  2.3589027E-01
   7124.00  2.5218591E-01
   7124.33  2.6884654E-01
   7124.67  2.8529196E-01
   7125.00  3.0057535E-01
   7125.33  3.1341020E-01
   7125.67  3.2401032E-01
   7126.00  3.3300175E-01
   7126.33  3.4078871E-01
   7126.67  3.4744038E-01
   7127.00  3.5304556E-01
   7127.33  3.5850329E-01
   7127.67  3.6490712E-01
   7128.00  3.7256816E-01
   7128.33  3.8134266E-01
   7128.67  3.9083599E-01
   7129.00  4.0111408E-01
   7129.33  4.1244510E-01
   7129.67  4.2427814E-01
   7130.00  4.3547898E-01
   7130.33  4.4419030E-01
   7130.67  4.4987547E-01
   7131.00  4.5248996E-01
   7131.33  4.5171290E-01
   7131.67  4.4818260E-01
   7132.00  4.4277146E-01
   7132.33  4.3725322E-01
   7132.67  4.3360754E-01
   7133.00  4.3323516E-01
   7133.33  4.3780858E-01
   7133.67  4.4728811E-01
   7134.00  4.6152110E-01
   7134.33  4.7993175E-01
   7134.67  5.0013630E-01
   7135.00  5.2020852E-01
   7135.33  5.3800403E-01
   7135.67  5.5249398E-01
   7136.00  5.6298852E-01
   7136.33  5.6852057E-01
   7136.67  5.6956056E-01
   7137.00  5.6628097E-01
   7137.33  5.5887374E-01
   7137.67  5.4909284E-01
   7138.00  5.3841704E-01
   7138.33  5.2861544E-01
   7138.67  5.2079335E-01
   7139.00  5.1550014E-01
   7139.33  5.1324817E-01
   7139.67  5.1354595E-01
   7140.00  5.1612355E-01
   7140.33  5.2085308E-01
   7140.67  5.2714999E-01
   7141.00  5.3477344E-01
   7141.33  5.4365494E-01
   7141.67  5.5350678E-01
   7142.00  5.6423661E-01
   7142.33  5.7586948E-01
   7142.67  5.8827037E-01
   7143.00  6.0144678E-01
   7143.33  6.1552502E-01
   7143.67  6.3036668E-01
   7144.00  6.4580015E-01
   7144.33  6.6142098E-01
   7144.67  6.7659114E-01
   7145.00  6.9071934E-01
   7145.33  7.0297834E-01
   7145.67  7.1317860E-01
   7146.00  7.2123323E-01
   7146.33  7.2709182E-01
   7146.67  7.3140779E-01
   7147.00  7.3459096E-01
   7147.33  7.3698262E-01
   7147.67  7.3895828E-01
   7148.00  7.4063019E-01
   7148.33  7.4197944E-01
   7148.67  7.4298978E-01
   7149.00  7.4358993E-01
   7149.33  7.4362789E-01
   7149.67  7.4309471E-01
   7150.00  7.4195122E-01
   7150.33  7.4009779E-01
   7150.67  7.3761740E-01
   7151.00  7.3453200E-01
   7151.33  7.3081568E-01
   7151.67  7.2659848E-01
   7152.00  7.2193967E-01
   7152.33  7.1686342E-01
   7152.67  7.1148054E-01
   7153.00  7.0583590E-01
   7153.33  6.9993616E-01
   7153.67  6.9382513E-01
   7154.00  6.8750226E-01
   7154.33  6.8092732E-01
   7154.67  6.7411191E-01
   7155.00  6.6704658E-01
   7155.33  6.5970399E-01
   7155.67  6.5214234E-01
   7156.00  6.4440795E-01
   7156.33  6.3656740E-01
   7156.67  6.2873130E-01
   7157.00  6.2099420E-01
   7157.33  6.1349711E-01
   7157.67  6.0632578E-01
   7158.00  5.9956362E-01
   7158.33  5.9333970E-01
   7158.67  5.8762864E-01
   7159.00  5.8243238E-01
   7159.33  5.7778760E-01
   7159.67  5.7357797E-01
   7160.00  5.6973120E-01
   7160.33  5.6619011E-01
   7160.67  5.6283623E-01
   7161.00  5.5960099E-01
   7161.33  5.5641620E-01
   7161.67  5.5321625E-01
   7162.00  5.4996231E-01
   7162.33  5.4661155E-01
   7162.67  5.4315736E-01
   7163.00  5.3959592E-01
   7163.33  5.3592109E-01
   7163.67  5.3216153E-01
   7164.00  5.2833692E-01
   7164.33  5.2447017E-01
   7164.67  5.2059826E-01
   7165.00  5.1675267E-01
   7165.33  5.1298166E-01
   7165.67  5.0931891E-01
   7166.00  5.0580009E-01
   7166.33  5.0248580E-01
   7166.67  4.9938454E-01
   7167.00  4.9651856E-01
   7167.33  4.9394104E-01
   7167.67  4.9162464E-01
   7168.00  4.8955979E-01
   7168.33  4.8775518E-01
   7168.67  4.8615538E-01
   7169.00  4.8473536E-01
   7169.33  4.8348542E-01
   7169.67  4.8236279E-01
   7170.00  4.8135368E-01
   7170.33  4.8046472E-01
   7170.67  4.7968482E-01
   7171.00  4.7902026E-01
   7171.33  4.7849232E-01
   7171.67  4.7808178E-01
   7172.00  4.7777028E-01
