    FDMNES
    energy     <xanes>
   7097.00  4.9901602E-03
   7097.33  5.1063451E-03
   7097.67  5.2277640E-03
   7098.00  5.3547703E-03
   7098.33  5.4885741E-03
   7098.67  5.6289268E-03
   7099.00  5.7763095E-03
   7099.33  5.9323034E-03
   7099.67  6.0966535E-03
   7100.00  6.2700324E-03
   7100.33  6.4545599E-03
   7100.67  6.6499982E-03
   7101.00  6.8573166E-03
   7101.33  7.0794447E-03
   7101.67  7.3162144E-03
   7102.00  7.5690743E-03
   7102.33  7.8422236E-03
   7102.67  8.1356795E-03
   7103.00  8.4517036E-03
   7103.33  8.7965879E-03
   7103.67  9.1707979E-03
   7104.00  9.5780571E-03
   7104.33  1.0028329E-02
   7104.67  1.0523152E-02
   7105.00  1.1069081E-02
   7105.33  1.1683047E-02
   7105.67  1.2369256E-02
   7106.00  1.3140301E-02
   7106.33  1.4027751E-02
   7106.67  1.5043052E-02
   7107.00  1.6213415E-02
   7107.33  1.7605787E-02
   7107.67  1.9254163E-02
   7108.00  2.1228186E-02
   7108.33  2.3699589E-02
   7108.67  2.6790208E-02
   7109.00  3.0731947E-02
   7109.33  3.6124174E-02
   7109.67  4.3582585E-02
   7110.00  5.4298955E-02
   7110.33  7.1646271E-02
   7110.67  9.9475447E-02
   7111.00  1.4131137E-01
   7111.33  1.9636463E-01
   7111.67  2.5300164E-01
   7112.00  3.0035803E-01
   7112.33  3.4435559E-01
   7112.67  3.8313034E-01
   7113.00  4.1233273E-01
   7113.33  4.0352486E-01
   7113.67  3.3663955E-01
   7114.00  2.5420179E-01
   7114.33  2.0102969E-01
   7114.67  1.7592361E-01
   7115.00  1.7468148E-01
   7115.33  1.9757230E-01
   7115.67  2.3805616E-01
   7116.00  2.8298211E-01
   7116.33  3.0269757E-01
   7116.67  2.8859256E-01
   7117.00  2.5419891E-01
   7117.33  2.1928575E-01
   7117.67  1.9208966E-01
   7118.00  1.7276910E-01
   7118.33  1.5978662E-01
   7118.67  1.5041855E-01
   7119.00  1.4410158E-01
   7119.33  1.4102522E-01
   7119.67  1.4002326E-01
   7120.00  1.3999996E-01
   7120.33  1.4004723E-01
   7120.67  1.3995859E-01
   7121.00  1.3996622E-01
   7121.33  1.3994503E-01
   7121.67  1.3906908E-01
   7122.00  1.3707896E-01
   7122.33  1.3516889E-01
   7122.67  1.3498752E-01
   7123.00  1.3738959E-01
   7123.33  1.4328174E-01
   7123.67  1.5239469E-01
   7124.00  1.6445264E-01
   7124.33  1.7944212E-01
   7124.67  1.9736051E-01
   7125.00  2.1888653E-01
   7125.33  2.4451750E-01
   7125.67  2.7269978E-01
   7126.00  3.0251889E-01
   7126.33  3.3325026E-01
   7126.67  3.6353883E-01
   7127.00  3.9242519E-01
   7127.33  4.1964352E-01
   7127.67  4.4609764E-01
   7128.00  4.7229884E-01
   7128.33  4.9842206E-01
   7128.67  5.2461470E-01
   7129.00  5.5130265E-01
   7129.33  5.7949096E-01
   7129.67  6.0988473E-01
   7130.00  6.4268782E-01
   7130.33  6.7702107E-01
   7130.67  7.1042079E-01
   7131.00  7.4073223E-01
   7131.33  7.6576093E-01
   7131.67  7.8555412E-01
   7132.00  8.0002969E-01
   7132.33  8.0885985E-01
   7132.67  8.1380448E-01
   7133.00  8.1637833E-01
   7133.33  8.1806934E-01
   7133.67  8.1969498E-01
   7134.00  8.2116568E-01
   7134.33  8.2209624E-01
   7134.67  8.2260997E-01
   7135.00  8.2304886E-01
   7135.33  8.2346212E-01
   7135.67  8.2284317E-01
   7136.00  8.1937941E-01
   7136.33  8.0982461E-01
   7136.67  7.9299984E-01
   7137.00  7.6875048E-01
   7137.33  7.3808662E-01
   7137.67  7.0474063E-01
   7138.00  6.7144377E-01
   7138.33  6.4104960E-01
   7138.67  6.1474206E-01
   7139.00  5.9302000E-01
   7139.33  5.7634381E-01
   7139.67  5.6362433E-01
   7140.00  5.5425779E-01
   7140.33  5.4786543E-01
   7140.67  5.4353084E-01
   7141.00  5.4090830E-01
   7141.33  5.3996935E-01
   7141.67  5.4046168E-01
   7142.00  5.4238297E-01
   7142.33  5.4587655E-01
   7142.67  5.5061838E-01
   7143.00  5.5633255E-01
   7143.33  5.6255383E-01
   7143.67  5.6851795E-01
   7144.00  5.7354031E-01
   7144.33  5.7665689E-01
   7144.67  5.7752626E-01
   7145.00  5.7592581E-01
   7145.33  5.7163262E-01
   7145.67  5.6533034E-01
   7146.00  5.5752515E-01
   7146.33  5.4883253E-01
   7146.67  5.4008773E-01
   7147.00  5.3186332E-01
   7147.33  5.2479202E-01
   7147.67  5.1901065E-01
   7148.00  5.1454778E-01
   7148.33  5.1141219E-01
   7148.67  5.0922600E-01
   7149.00  5.0777712E-01
   7149.33  5.0691664E-01
   7149.67  5.0642826E-01
   7150.00  5.0624063E-01
   7150.33  5.0636699E-01
   7150.67  5.0680188E-01
   7151.00  5.0759702E-01
   7151.33  5.0888199E-01
   7151.67  5.1067112E-01
   7152.00  5.1299786E-01
   7152.33  5.1592953E-01
   7152.67  5.1935522E-01
   7153.00  5.2320399E-01
   7153.33  5.2740079E-01
   7153.67  5.3177605E-01
   7154.00  5.3621830E-01
   7154.33  5.4060456E-01
   7154.67  5.4484682E-01
   7155.00  5.4888656E-01
   7155.33  5.5265239E-01
   7155.67  5.5615869E-01
   7156.00  5.5940597E-01
   7156.33  5.6237376E-01
   7156.67  5.6510844E-01
   7157.00  5.6762355E-01
   7157.33  5.6990793E-01
   7157.67  5.7199979E-01
   7158.00  5.7390850E-01
   7158.33  5.7562223E-01
   7158.67  5.7717135E-01
   7159.00  5.7856098E-01
   7159.33  5.7977394E-01
   7159.67  5.8082697E-01
   7160.00  5.8171161E-01
   7160.33  5.8238573E-01
   7160.67  5.8284291E-01
   7161.00  5.8304849E-01
   7161.33  5.8291566E-01
   7161.67  5.8242319E-01
   7162.00  5.8151387E-01
   7162.33  5.8006022E-01
   7162.67  5.7806143E-01
   7163.00  5.7547455E-01
   7163.33  5.7219252E-01
   7163.67  5.6828954E-01
   7164.00  5.6378593E-01
   7164.33  5.5866237E-01
   7164.67  5.5306015E-01
   7165.00  5.4705447E-01
   7165.33  5.4070359E-01
   7165.67  5.3414450E-01
   7166.00  5.2745833E-01
   7166.33  5.2072543E-01
   7166.67  5.1402268E-01
   7167.00  5.0739873E-01
   7167.33  5.0091082E-01
   7167.67  4.9457267E-01
   7168.00  4.8840043E-01
   7168.33  4.8242817E-01
   7168.67  4.7664443E-01
   7169.00  4.7105970E-01
   7169.33  4.6570847E-01
   7169.67  4.6057509E-01
   7170.00  4.5567339E-01
   7170.33  4.5105735E-01
   7170.67  4.4672612E-01
   7171.00  4.4271593E-01
   7171.33  4.3913725E-01
   7171.67  4.3604591E-01
   7172.00  4.3356747E-01
