    FDMNES
    energy     <xanes>
   7097.00  3.9199348E-03
   7097.33  3.9921842E-03
   7097.67  4.0670176E-03
   7098.00  4.1445855E-03
   7098.33  4.2254472E-03
   7098.67  4.3094508E-03
   7099.00  4.3967989E-03
   7099.33  4.4882044E-03
   7099.67  4.5835104E-03
   7100.00  4.6829979E-03
   7100.33  4.7876032E-03
   7100.67  4.8971754E-03
   7101.00  5.0121189E-03
   7101.33  5.1337087E-03
   7101.67  5.2618249E-03
   7102.00  5.3970762E-03
   7102.33  5.5412771E-03
   7102.67  5.6943969E-03
   7103.00  5.8574010E-03
   7103.33  6.0330180E-03
   7103.67  6.2214416E-03
   7104.00  6.4243060E-03
   7104.33  6.6460068E-03
   7104.67  6.8872976E-03
   7105.00  7.1511775E-03
   7105.33  7.4453756E-03
   7105.67  7.7721114E-03
   7106.00  8.1374904E-03
   7106.33  8.5567474E-03
   7106.67  9.0363336E-03
   7107.00  9.5905230E-03
   7107.33  1.0254386E-02
   7107.67  1.1048685E-02
   7108.00  1.2014004E-02
   7108.33  1.3251388E-02
   7108.67  1.4843754E-02
   7109.00  1.6946743E-02
   7109.33  1.9974291E-02
   7109.67  2.4411192E-02
   7110.00  3.1208793E-02
   7110.33  4.3098900E-02
   7110.67  6.2777629E-02
   7111.00  8.9904121E-02
   7111.33  1.1637768E-01
   7111.67  1.3865335E-01
   7112.00  1.5112721E-01
   7112.33  1.3691965E-01
   7112.67  1.0533842E-01
   7113.00  7.6481383E-02
   7113.33  5.8580773E-02
   7113.67  4.8248998E-02
   7114.00  4.3453603E-02
   7114.33  4.1833699E-02
   7114.67  3.8982298E-02
   7115.00  3.4724455E-02
   7115.33  3.1485313E-02
   7115.67  2.9712363E-02
   7116.00  2.9053097E-02
   7116.33  2.9220695E-02
   7116.67  2.9912284E-02
   7117.00  3.1050188E-02
   7117.33  3.2663875E-02
   7117.67  3.4714922E-02
   7118.00  3.7241262E-02
   7118.33  4.0372760E-02
   7118.67  4.4043547E-02
   7119.00  4.8078636E-02
   7119.33  5.2043114E-02
   7119.67  5.5584279E-02
   7120.00  5.8614937E-02
   7120.33  6.1137434E-02
   7120.67  6.3368704E-02
   7121.00  6.5509456E-02
   7121.33  6.7885610E-02
   7121.67  7.0835568E-02
   7122.00  7.4699447E-02
   7122.33  8.0060145E-02
   7122.67  8.7203816E-02
   7123.00  9.6546143E-02
   7123.33  1.0888179E-01
   7123.67  1.2418050E-01
   7124.00  1.4267097E-01
   7124.33  1.6601794E-01
   7124.67  1.9637359E-01
   7125.00  2.3667190E-01
   7125.33  2.9047614E-01
   7125.67  3.5308612E-01
   7126.00  4.1503304E-01
