    FDMNES
    energy     <xanes>
   7097.00  5.1036104E-03
   7097.33  5.2290177E-03
   7097.67  5.3603019E-03
   7098.00  5.4978740E-03
   7098.33  5.6431170E-03
   7098.67  5.7957722E-03
   7099.00  5.9564055E-03
   7099.33  6.1268435E-03
   7099.67  6.3068296E-03
   7100.00  6.4971650E-03
   7100.33  6.7003304E-03
   7100.67  6.9161051E-03
   7101.00  7.1456624E-03
   7101.33  7.3924834E-03
   7101.67  7.6564597E-03
   7102.00  7.9393772E-03
   7102.33  8.2463190E-03
   7102.67  8.5774571E-03
   7103.00  8.9356409E-03
   7103.33  9.3286613E-03
   7103.67  9.7573557E-03
   7104.00  1.0226542E-02
   7104.33  1.0748901E-02
   7104.67  1.1326872E-02
   7105.00  1.1969213E-02
   7105.33  1.2698220E-02
   7105.67  1.3520395E-02
   7106.00  1.4453237E-02
   7106.33  1.5540149E-02
   7106.67  1.6799009E-02
   7107.00  1.8269565E-02
   7107.33  2.0049123E-02
   7107.67  2.2192768E-02
   7108.00  2.4809145E-02
   7108.33  2.8167376E-02
   7108.67  3.2478265E-02
   7109.00  3.8138772E-02
   7109.33  4.6195532E-02
   7109.67  5.7830286E-02
   7110.00  7.5352450E-02
   7110.33  1.0528927E-01
   7110.67  1.5348897E-01
   7111.00  2.1790930E-01
   7111.33  2.8700191E-01
   7111.67  3.6139677E-01
   7112.00  4.2521098E-01
   7112.33  4.5927721E-01
   7112.67  4.5463727E-01
   7113.00  3.9801221E-01
   7113.33  3.1867610E-01
   7113.67  2.6075239E-01
   7114.00  2.2736733E-01
   7114.33  2.0902625E-01
   7114.67  1.9189699E-01
   7115.00  1.7063678E-01
   7115.33  1.4790109E-01
   7115.67  1.2393466E-01
   7116.00  1.0153804E-01
   7116.33  8.6362704E-02
   7116.67  7.7509512E-02
   7117.00  7.3310784E-02
   7117.33  7.2809069E-02
   7117.67  7.5047645E-02
   7118.00  8.0043400E-02
   7118.33  8.8588867E-02
   7118.67  1.0076005E-01
   7119.00  1.1636710E-01
   7119.33  1.3316557E-01
   7119.67  1.4585094E-01
   7120.00  1.5176731E-01
   7120.33  1.5400929E-01
   7120.67  1.5793011E-01
   7121.00  1.6549373E-01
   7121.33  1.7773447E-01
   7121.67  1.9372028E-01
   7122.00  2.1278377E-01
   7122.33  2.3470760E-01
   7122.67  2.5964535E-01
   7123.00  2.8939918E-01
   7123.33  3.2913437E-01
   7123.67  3.8337610E-01
   7124.00  4.5695092E-01
   7124.33  5.5488609E-01
   7124.67  6.6704431E-01
   7125.00  7.7378944E-01
   7125.33  8.3622657E-01
   7125.67  8.4036647E-01
   7126.00  7.9878499E-01
   7126.33  7.4009507E-01
   7126.67  6.8817886E-01
   7127.00  6.5059943E-01
   7127.33  6.3017732E-01
   7127.67  6.2169619E-01
   7128.00  6.2062226E-01
   7128.33  6.2121990E-01
   7128.67  6.1875167E-01
   7129.00  6.1177785E-01
   7129.33  6.0116493E-01
   7129.67  5.9023411E-01
   7130.00  5.8109799E-01
   7130.33  5.7506776E-01
   7130.67  5.7147534E-01
   7131.00  5.6961599E-01
   7131.33  5.6883003E-01
   7131.67  5.6857276E-01
   7132.00  5.6889613E-01
   7132.33  5.7034647E-01
   7132.67  5.7306836E-01
   7133.00  5.7673492E-01
   7133.33  5.8043007E-01
   7133.67  5.8353207E-01
   7134.00  5.8626251E-01
   7134.33  5.8931778E-01
   7134.67  5.9306209E-01
   7135.00  5.9766756E-01
