    FDMNES
    energy     <xanes>
   7097.00  5.2306784E-03
   7097.33  5.3570911E-03
   7097.67  5.4893864E-03
   7098.00  5.6279704E-03
   7098.33  5.7742172E-03
   7098.67  5.9278588E-03
   7099.00  6.0894497E-03
   7099.33  6.2607942E-03
   7099.67  6.4416195E-03
   7100.00  6.6327038E-03
   7100.33  6.8364775E-03
   7100.67  7.0526915E-03
   7101.00  7.2824715E-03
   7101.33  7.5291926E-03
   7101.67  7.7926922E-03
   7102.00  8.0746587E-03
   7102.33  8.3799535E-03
   7102.67  8.7086391E-03
   7103.00  9.0633610E-03
   7103.33  9.4514401E-03
   7103.67  9.8734779E-03
   7104.00  1.0333849E-02
   7104.33  1.0844206E-02
   7104.67  1.1406440E-02
   7105.00  1.2028291E-02
   7105.33  1.2729677E-02
   7105.67  1.3515712E-02
   7106.00  1.4401361E-02
   7106.33  1.5424060E-02
   7106.67  1.6597743E-02
   7107.00  1.7955094E-02
   7107.33  1.9576478E-02
   7107.67  2.1503839E-02
   7108.00  2.3822430E-02
   7108.33  2.6743123E-02
   7108.67  3.0420808E-02
   7109.00  3.5150207E-02
   7109.33  4.1701445E-02
   7109.67  5.0903101E-02
   7110.00  6.4374070E-02
   7110.33  8.6742807E-02
   7110.67  1.2304295E-01
   7111.00  1.7546500E-01
   7111.33  2.3146242E-01
   7111.67  2.7770391E-01
   7112.00  3.1581473E-01
   7112.33  3.4621285E-01
   7112.67  3.7805938E-01
   7113.00  4.2278824E-01
   7113.33  4.7485549E-01
   7113.67  4.9924051E-01
   7114.00  4.7195838E-01
   7114.33  4.0577906E-01
   7114.67  3.3916406E-01
   7115.00  2.8656931E-01
   7115.33  2.5180397E-01
   7115.67  2.2936159E-01
   7116.00  2.1552601E-01
   7116.33  2.0611526E-01
   7116.67  1.9584299E-01
   7117.00  1.8242684E-01
   7117.33  1.6773061E-01
   7117.67  1.5544745E-01
   7118.00  1.4652368E-01
   7118.33  1.4049712E-01
   7118.67  1.3612871E-01
   7119.00  1.3309361E-01
   7119.33  1.3141476E-01
   7119.67  1.3085914E-01
   7120.00  1.3129544E-01
   7120.33  1.3242453E-01
   7120.67  1.3400977E-01
   7121.00  1.3642620E-01
   7121.33  1.3994264E-01
   7121.67  1.4409468E-01
   7122.00  1.4905172E-01
   7122.33  1.5534514E-01
   7122.67  1.6279605E-01
   7123.00  1.7131385E-01
   7123.33  1.8144278E-01
   7123.67  1.9390855E-01
   7124.00  2.0953518E-01
   7124.33  2.2911132E-01
   7124.67  2.5115394E-01
   7125.00  2.7332794E-01
   7125.33  2.9194479E-01
   7125.67  3.0629755E-01
   7126.00  3.1812744E-01
   7126.33  3.3063028E-01
   7126.67  3.4614586E-01
   7127.00  3.6600094E-01
   7127.33  3.9190997E-01
   7127.67  4.2350929E-01
   7128.00  4.5988918E-01
   7128.33  4.9819755E-01
