    FDMNES
    energy     <xanes>
   7097.00  4.7619947E-03
   7097.33  4.8702324E-03
   7097.67  4.9830711E-03
   7098.00  5.1008042E-03
   7098.33  5.2244665E-03
   7098.67  5.3538163E-03
   7099.00  5.4892485E-03
   7099.33  5.6320978E-03
   7099.67  5.7821118E-03
   7100.00  5.9398364E-03
   7100.33  6.1070374E-03
   7100.67  6.2834690E-03
   7101.00  6.4699103E-03
   7101.33  6.6687702E-03
   7101.67  6.8798493E-03
   7102.00  7.1043020E-03
   7102.33  7.3455393E-03
   7102.67  7.6034982E-03
   7103.00  7.8799687E-03
   7103.33  8.1800082E-03
   7103.67  8.5038963E-03
   7104.00  8.8545690E-03
   7104.33  9.2399710E-03
   7104.67  9.6612208E-03
   7105.00  1.0123487E-02
   7105.33  1.0640212E-02
   7105.67  1.1214644E-02
   7106.00  1.1856755E-02
   7106.33  1.2591648E-02
   7106.67  1.3428443E-02
   7107.00  1.4388919E-02
   7107.33  1.5526798E-02
   7107.67  1.6869872E-02
   7108.00  1.8474925E-02
   7108.33  2.0482438E-02
   7108.67  2.2994778E-02
   7109.00  2.6206520E-02
   7109.33  3.0623619E-02
   7109.67  3.6780530E-02
   7110.00  4.5715667E-02
   7110.33  6.0402905E-02
   7110.67  8.4413776E-02
   7111.00  1.2133636E-01
   7111.33  1.6858325E-01
   7111.67  2.0403334E-01
   7112.00  2.1790446E-01
   7112.33  2.4316076E-01
   7112.67  2.9683609E-01
   7113.00  3.3926170E-01
   7113.33  2.9453638E-01
   7113.67  2.2108302E-01
   7114.00  1.6497788E-01
   7114.33  1.3263383E-01
   7114.67  1.1288262E-01
   7115.00  1.0089930E-01
   7115.33  9.5328451E-02
   7115.67  9.4632449E-02
   7116.00  9.8387679E-02
   7116.33  1.0690808E-01
   7116.67  1.1947494E-01
   7117.00  1.3640562E-01
   7117.33  1.5932689E-01
   7117.67  1.8482546E-01
   7118.00  2.0591695E-01
   7118.33  2.1730432E-01
   7118.67  2.2332586E-01
   7119.00  2.2626026E-01
   7119.33  2.2749253E-01
   7119.67  2.3035724E-01
   7120.00  2.3774679E-01
   7120.33  2.5180140E-01
   7120.67  2.7206723E-01
   7121.00  2.9817635E-01
   7121.33  3.2810621E-01
   7121.67  3.5705253E-01
   7122.00  3.8226055E-01
   7122.33  4.0528512E-01
   7122.67  4.3129961E-01
   7123.00  4.6236046E-01
   7123.33  4.9641335E-01
   7123.67  5.2734906E-01
   7124.00  5.5049920E-01
   7124.33  5.6289082E-01
   7124.67  5.6806458E-01
   7125.00  5.6928944E-01
   7125.33  5.6929070E-01
   7125.67  5.6955795E-01
   7126.00  5.7060094E-01
   7126.33  5.7239257E-01
   7126.67  5.7355857E-01
   7127.00  5.7275709E-01
   7127.33  5.6955695E-01
   7127.67  5.6580268E-01
   7128.00  5.6342863E-01
   7128.33  5.6474523E-01
   7128.67  5.6964763E-01
   7129.00  5.7629863E-01
   7129.33  5.8018933E-01
   7129.67  5.7778724E-01
   7130.00  5.6858638E-01
   7130.33  5.5500778E-01
   7130.67  5.4143425E-01
   7131.00  5.3017241E-01
   7131.33  5.2283700E-01
   7131.67  5.1911573E-01
   7132.00  5.1870081E-01
   7132.33  5.2144584E-01
   7132.67  5.2662727E-01
   7133.00  5.3408148E-01
   7133.33  5.4384183E-01
   7133.67  5.5531698E-01
   7134.00  5.6820432E-01
   7134.33  5.8222963E-01
   7134.67  5.9667783E-01
   7135.00  6.1084153E-01
   7135.33  6.2361677E-01
   7135.67  6.3433853E-01
   7136.00  6.4261282E-01
   7136.33  6.4810835E-01
   7136.67  6.5147039E-01
   7137.00  6.5314117E-01
   7137.33  6.5355679E-01
   7137.67  6.5342708E-01
   7138.00  6.5319890E-01
   7138.33  6.5334480E-01
   7138.67  6.5411978E-01
   7139.00  6.5564800E-01
   7139.33  6.5799869E-01
   7139.67  6.6087491E-01
   7140.00  6.6396041E-01
   7140.33  6.6671646E-01
   7140.67  6.6861409E-01
   7141.00  6.6922715E-01
   7141.33  6.6798270E-01
   7141.67  6.6486762E-01
   7142.00  6.5985594E-01
   7142.33  6.5289117E-01
