    FDMNES
    energy     <xanes>
   7097.00  5.2091881E-03
   7097.33  5.3389620E-03
   7097.67  5.4748719E-03
   7098.00  5.6173413E-03
   7098.33  5.7678034E-03
   7098.67  5.9259771E-03
   7099.00  6.0924393E-03
   7099.33  6.2690673E-03
   7099.67  6.4555717E-03
   7100.00  6.6527575E-03
   7100.33  6.8631445E-03
   7100.67  7.0864612E-03
   7101.00  7.3238634E-03
   7101.33  7.5788320E-03
   7101.67  7.8511706E-03
   7102.00  8.1425973E-03
   7102.33  8.4580867E-03
   7102.67  8.7976455E-03
   7103.00  9.1639340E-03
   7103.33  9.5643636E-03
   7103.67  9.9994305E-03
   7104.00  1.0473468E-02
   7104.33  1.0998105E-02
   7104.67  1.1575005E-02
   7105.00  1.2211694E-02
   7105.33  1.2927684E-02
   7105.67  1.3727534E-02
   7106.00  1.4625479E-02
   7106.33  1.5657366E-02
   7106.67  1.6835613E-02
   7107.00  1.8190594E-02
   7107.33  1.9797374E-02
   7107.67  2.1693338E-02
   7108.00  2.3956337E-02
   7108.33  2.6779964E-02
   7108.67  3.0304836E-02
   7109.00  3.4802852E-02
   7109.33  4.0994705E-02
   7109.67  4.9683990E-02
   7110.00  6.2463656E-02
   7110.33  8.3790470E-02
   7110.67  1.1656336E-01
   7111.00  1.5358942E-01
   7111.33  1.7411339E-01
   7111.67  1.9060960E-01
   7112.00  2.1833037E-01
   7112.33  2.7706667E-01
   7112.67  3.7552086E-01
   7113.00  5.1434763E-01
   7113.33  6.5680911E-01
   7113.67  7.3580735E-01
   7114.00  7.3626640E-01
   7114.33  6.6092344E-01
   7114.67  5.3258441E-01
   7115.00  4.0218760E-01
   7115.33  3.1009950E-01
   7115.67  2.4935536E-01
   7116.00  2.1154915E-01
   7116.33  1.9223714E-01
   7116.67  1.8545634E-01
   7117.00  1.8644990E-01
   7117.33  1.8748547E-01
   7117.67  1.8409932E-01
   7118.00  1.7577335E-01
   7118.33  1.6481942E-01
   7118.67  1.5466805E-01
   7119.00  1.4628289E-01
   7119.33  1.3957837E-01
   7119.67  1.3382388E-01
   7120.00  1.2877287E-01
   7120.33  1.2468427E-01
   7120.67  1.2198932E-01
   7121.00  1.2076319E-01
   7121.33  1.2036952E-01
   7121.67  1.2010516E-01
   7122.00  1.2015163E-01
   7122.33  1.2103905E-01
   7122.67  1.2272160E-01
   7123.00  1.2501882E-01
   7123.33  1.2775577E-01
   7123.67  1.3072701E-01
   7124.00  1.3391214E-01
   7124.33  1.3760499E-01
   7124.67  1.4227611E-01
   7125.00  1.4841507E-01
   7125.33  1.5662319E-01
   7125.67  1.6688101E-01
   7126.00  1.7939084E-01
   7126.33  1.9474112E-01
   7126.67  2.1282157E-01
   7127.00  2.3373933E-01
   7127.33  2.5793967E-01
   7127.67  2.8494660E-01
   7128.00  3.1409383E-01
   7128.33  3.4325597E-01
   7128.67  3.6946507E-01
   7129.00  3.9173793E-01
   7129.33  4.1243956E-01
   7129.67  4.3627421E-01
   7130.00  4.6639024E-01
   7130.33  5.0558817E-01
   7130.67  5.5292636E-01
   7131.00  6.0760691E-01
   7131.33  6.6895398E-01
   7131.67  7.3428687E-01
   7132.00  8.0110630E-01
   7132.33  8.6461259E-01
   7132.67  9.1934491E-01
   7133.00  9.6025124E-01
   7133.33  9.8117911E-01
   7133.67  9.8408752E-01
   7134.00  9.7161651E-01
   7134.33  9.4702947E-01
   7134.67  9.1585720E-01
   7135.00  8.8061259E-01
   7135.33  8.4290410E-01
   7135.67  8.0423003E-01
   7136.00  7.6535758E-01
   7136.33  7.2704837E-01
   7136.67  6.8981680E-01
   7137.00  6.5411741E-01
   7137.33  6.2073300E-01
   7137.67  5.8994463E-01
   7138.00  5.6221459E-01
   7138.33  5.3848761E-01
   7138.67  5.1872540E-01
   7139.00  5.0315688E-01
   7139.33  4.9239227E-01
   7139.67  4.8576772E-01
   7140.00  4.8303038E-01
   7140.33  4.8418274E-01
   7140.67  4.8826310E-01
   7141.00  4.9478272E-01
   7141.33  5.0342111E-01
   7141.67  5.1344920E-01
   7142.00  5.2451841E-01
   7142.33  5.3640546E-01
   7142.67  5.4878847E-01
   7143.00  5.6151434E-01
   7143.33  5.7445383E-01
   7143.67  5.8743451E-01
   7144.00  6.0032089E-01
   7144.33  6.1291081E-01
   7144.67  6.2506118E-01
   7145.00  6.3662352E-01
   7145.33  6.4734605E-01
   7145.67  6.5718850E-01
   7146.00  6.6606220E-01
   7146.33  6.7376866E-01
   7146.67  6.8040318E-01
   7147.00  6.8595926E-01
   7147.33  6.9031831E-01
   7147.67  6.9364517E-01
   7148.00  6.9597605E-01
   7148.33  6.9723957E-01
   7148.67  6.9760232E-01
   7149.00  6.9710348E-01
   7149.33  6.9568250E-01
   7149.67  6.9347948E-01
   7150.00  6.9052538E-01
   7150.33  6.8677607E-01
   7150.67  6.8237700E-01
   7151.00  6.7738349E-01
   7151.33  6.7180710E-01
   7151.67  6.6580381E-01
   7152.00  6.5946389E-01
   7152.33  6.5287238E-01
   7152.67  6.4617324E-01
   7153.00  6.3946676E-01
   7153.33  6.3287612E-01
   7153.67  6.2648822E-01
   7154.00  6.2037691E-01
   7154.33  6.1465208E-01
   7154.67  6.0931799E-01
   7155.00  6.0440130E-01
   7155.33  5.9997254E-01
   7155.67  5.9598100E-01
   7156.00  5.9242188E-01
   7156.33  5.8933362E-01
   7156.67  5.8664166E-01
   7157.00  5.8432096E-01
   7157.33  5.8237934E-01
   7157.67  5.8073741E-01
   7158.00  5.7935455E-01
   7158.33  5.7819388E-01
   7158.67  5.7716029E-01
   7159.00  5.7618841E-01
   7159.33  5.7519188E-01
   7159.67  5.7408500E-01
   7160.00  5.7279240E-01
   7160.33  5.7119741E-01
   7160.67  5.6925981E-01
   7161.00  5.6692580E-01
   7161.33  5.6408915E-01
   7161.67  5.6077069E-01
   7162.00  5.5695211E-01
   7162.33  5.5256597E-01
   7162.67  5.4769064E-01
   7163.00  5.4235155E-01
   7163.33  5.3653572E-01
   7163.67  5.3034535E-01
   7164.00  5.2382831E-01
   7164.33  5.1701046E-01
   7164.67  5.0998619E-01
   7165.00  5.0280678E-01
   7165.33  4.9551483E-01
   7165.67  4.8817229E-01
   7166.00  4.8081658E-01
   7166.33  4.7348822E-01
   7166.67  4.6621677E-01
   7167.00  4.5902645E-01
   7167.33  4.5195525E-01
   7167.67  4.4501241E-01
   7168.00  4.3821535E-01
   7168.33  4.3160344E-01
   7168.67  4.2517307E-01
   7169.00  4.1893825E-01
   7169.33  4.1294418E-01
   7169.67  4.0718161E-01
   7170.00  4.0166804E-01
   7170.33  3.9646412E-01
   7170.67  3.9156841E-01
   7171.00  3.8701969E-01
   7171.33  3.8294037E-01
   7171.67  3.7939926E-01
   7172.00  3.7654580E-01
