    FDMNES
    energy     <xanes>
   7097.00  5.0369939E-03
   7097.33  5.1504374E-03
   7097.67  5.2687928E-03
   7098.00  5.3923792E-03
   7098.33  5.5223111E-03
   7098.67  5.6583379E-03
   7099.00  5.8008899E-03
   7099.33  5.9514085E-03
   7099.67  6.1096319E-03
   7100.00  6.2761550E-03
   7100.33  6.4528892E-03
   7100.67  6.6395786E-03
   7101.00  6.8370714E-03
   7101.33  7.0479763E-03
   7101.67  7.2720847E-03
   7102.00  7.5106481E-03
   7102.33  7.7673553E-03
   7102.67  8.0421353E-03
   7103.00  8.3369157E-03
   7103.33  8.6571417E-03
   7103.67  9.0030859E-03
   7104.00  9.3778769E-03
   7104.33  9.7899974E-03
   7104.67  1.0240553E-02
   7105.00  1.0734970E-02
   7105.33  1.1287411E-02
   7105.67  1.1901066E-02
   7106.00  1.2586201E-02
   7106.33  1.3368751E-02
   7106.67  1.4257566E-02
   7107.00  1.5274513E-02
   7107.33  1.6473666E-02
   7107.67  1.7881544E-02
   7108.00  1.9553501E-02
   7108.33  2.1626468E-02
   7108.67  2.4196183E-02
   7109.00  2.7446331E-02
   7109.33  3.1852868E-02
   7109.67  3.7904913E-02
   7110.00  4.6554606E-02
   7110.33  6.0540448E-02
   7110.67  8.3342346E-02
   7111.00  1.1906506E-01
   7111.33  1.6366127E-01
   7111.67  1.9572261E-01
   7112.00  2.1209092E-01
   7112.33  2.2397547E-01
   7112.67  2.4676645E-01
   7113.00  2.8866239E-01
   7113.33  3.3256545E-01
   7113.67  3.5660544E-01
   7114.00  3.6514408E-01
   7114.33  3.5664605E-01
   7114.67  3.2948160E-01
   7115.00  2.9422585E-01
   7115.33  2.6498035E-01
   7115.67  2.4477998E-01
   7116.00  2.3222405E-01
   7116.33  2.2628261E-01
   7116.67  2.2429510E-01
   7117.00  2.2206762E-01
   7117.33  2.1288485E-01
   7117.67  1.9828244E-01
   7118.00  1.8358870E-01
   7118.33  1.7318194E-01
   7118.67  1.6658561E-01
   7119.00  1.6241143E-01
