    FDMNES
    energy     <xanes>
   7097.00  4.8069313E-03
   7097.33  4.9165820E-03
   7097.67  5.0310263E-03
   7098.00  5.1505827E-03
   7098.33  5.2763522E-03
   7098.67  5.4081020E-03
   7099.00  5.5462677E-03
   7099.33  5.6922881E-03
   7099.67  5.8459281E-03
   7100.00  6.0078007E-03
   7100.33  6.1798410E-03
   7100.67  6.3618378E-03
   7101.00  6.5546847E-03
   7101.33  6.7610758E-03
   7101.67  6.9808828E-03
   7102.00  7.2154641E-03
   7102.33  7.4687329E-03
   7102.67  7.7407771E-03
   7103.00  8.0337708E-03
   7103.33  8.3537040E-03
   7103.67  8.7011937E-03
   7104.00  9.0799470E-03
   7104.33  9.4997618E-03
   7104.67  9.9625627E-03
   7105.00  1.0475200E-02
   7105.33  1.1055132E-02
   7105.67  1.1707712E-02
   7106.00  1.2446995E-02
   7106.33  1.3307849E-02
   7106.67  1.4305609E-02
   7107.00  1.5473519E-02
   7107.33  1.6893130E-02
   7107.67  1.8614134E-02
   7108.00  2.0732889E-02
   7108.33  2.3489942E-02
   7108.67  2.7088400E-02
   7109.00  3.1909577E-02
   7109.33  3.8975883E-02
   7109.67  4.9520254E-02
   7110.00  6.5978366E-02
   7110.33  9.5427970E-02
   7110.67  1.4505642E-01
   7111.00  2.1316683E-01
   7111.33  2.6410619E-01
   7111.67  2.7565290E-01
   7112.00  2.5790832E-01
   7112.33  2.2720345E-01
   7112.67  1.9598563E-01
   7113.00  1.6890081E-01
   7113.33  1.4783809E-01
   7113.67  1.3141818E-01
   7114.00  1.1885380E-01
   7114.33  1.0988467E-01
   7114.67  1.0355595E-01
   7115.00  9.9529845E-02
   7115.33  9.7951512E-02
   7115.67  9.8530535E-02
   7116.00  1.0125070E-01
   7116.33  1.0645096E-01
   7116.67  1.1401119E-01
   7117.00  1.2383363E-01
   7117.33  1.3479107E-01
   7117.67  1.4385502E-01
   7118.00  1.4896789E-01
   7118.33  1.5061386E-01
   7118.67  1.5270351E-01
   7119.00  1.5866644E-01
   7119.33  1.7067492E-01
   7119.67  1.8700126E-01
   7120.00  2.0798032E-01
   7120.33  2.3625965E-01
   7120.67  2.7190462E-01
   7121.00  3.1522960E-01
   7121.33  3.6837374E-01
   7121.67  4.2942290E-01
   7122.00  4.9305229E-01
   7122.33  5.5019018E-01
   7122.67  5.9530009E-01
   7123.00  6.2579322E-01
   7123.33  6.4043010E-01
   7123.67  6.4499477E-01
   7124.00  6.4385312E-01
   7124.33  6.3973622E-01
   7124.67  6.3404149E-01
   7125.00  6.2798966E-01
   7125.33  6.2225984E-01
   7125.67  6.1405206E-01
   7126.00  6.0061817E-01
   7126.33  5.8224900E-01
   7126.67  5.6329748E-01
   7127.00  5.4635690E-01
   7127.33  5.3321611E-01
   7127.67  5.2374866E-01
   7128.00  5.1760779E-01
   7128.33  5.1407824E-01
   7128.67  5.1149673E-01
   7129.00  5.0877802E-01
   7129.33  5.0561557E-01
   7129.67  5.0324678E-01
   7130.00  5.0272161E-01
   7130.33  5.0414014E-01
   7130.67  5.0625747E-01
   7131.00  5.0849083E-01
   7131.33  5.1094190E-01
   7131.67  5.1348733E-01
   7132.00  5.1512879E-01
   7132.33  5.1404932E-01
   7132.67  5.1034128E-01
   7133.00  5.0533780E-01
   7133.33  5.0105998E-01
   7133.67  4.9786831E-01
   7134.00  4.9469931E-01
   7134.33  4.9020255E-01
   7134.67  4.8497014E-01
   7135.00  4.8055266E-01
   7135.33  4.7916186E-01
   7135.67  4.8145069E-01
   7136.00  4.8742527E-01
   7136.33  4.9679903E-01
   7136.67  5.0813341E-01
   7137.00  5.2039852E-01
   7137.33  5.3259675E-01
   7137.67  5.4433902E-01
   7138.00  5.5578400E-01
   7138.33  5.6740100E-01
   7138.67  5.7938208E-01
   7139.00  5.9148964E-01
   7139.33  6.0294603E-01
   7139.67  6.1290196E-01
   7140.00  6.2062799E-01
   7140.33  6.2522805E-01
   7140.67  6.2693148E-01
   7141.00  6.2596409E-01
   7141.33  6.2259913E-01
   7141.67  6.1780312E-01
   7142.00  6.1219796E-01
   7142.33  6.0639271E-01
   7142.67  6.0084038E-01
   7143.00  5.9571966E-01
   7143.33  5.9113047E-01
   7143.67  5.8698482E-01
   7144.00  5.8328790E-01
   7144.33  5.8020609E-01
