    FDMNES
    energy     <xanes>
   7097.00  4.3305441E-03
   7097.33  4.4256298E-03
   7097.67  4.5249726E-03
   7098.00  4.6288765E-03
   7098.33  4.7383554E-03
   7098.67  4.8532338E-03
   7099.00  4.9739378E-03
   7099.33  5.1018242E-03
   7099.67  5.2367307E-03
   7100.00  5.3792743E-03
   7100.33  5.5313305E-03
   7100.67  5.6927866E-03
   7101.00  5.8645702E-03
   7101.33  6.0493770E-03
   7101.67  6.2472225E-03
   7102.00  6.4595662E-03
   7102.33  6.6904672E-03
   7102.67  6.9402472E-03
   7103.00  7.2113297E-03
   7103.33  7.5101839E-03
   7103.67  7.8378565E-03
   7104.00  8.1986463E-03
   7104.33  8.6036160E-03
   7104.67  9.0555942E-03
   7105.00  9.5628650E-03
   7105.33  1.0146119E-02
   7105.67  1.0812903E-02
   7106.00  1.1580996E-02
   7106.33  1.2493935E-02
   7106.67  1.3573319E-02
   7107.00  1.4863295E-02
   7107.33  1.6471634E-02
   7107.67  1.8469902E-02
   7108.00  2.0993207E-02
   7108.33  2.4380115E-02
   7108.67  2.8935364E-02
   7109.00  3.5228373E-02
   7109.33  4.4805341E-02
   7109.67  5.9623063E-02
   7110.00  8.3571624E-02
   7110.33  1.2798887E-01
   7110.67  2.0336417E-01
   7111.00  2.9981998E-01
   7111.33  3.4065592E-01
   7111.67  3.0633882E-01
   7112.00  2.4557528E-01
   7112.33  2.0507546E-01
   7112.67  1.6670818E-01
   7113.00  1.2309395E-01
   7113.33  9.1953210E-02
   7113.67  7.2615041E-02
   7114.00  6.0118212E-02
   7114.33  5.2275814E-02
   7114.67  4.7554652E-02
   7115.00  4.4235567E-02
   7115.33  3.9634476E-02
   7115.67  3.5104550E-02
   7116.00  3.1959323E-02
   7116.33  3.0237819E-02
   7116.67  2.9356127E-02
   7117.00  2.9092543E-02
   7117.33  2.9391184E-02
   7117.67  3.0147368E-02
   7118.00  3.1329846E-02
   7118.33  3.2889496E-02
   7118.67  3.4597048E-02
   7119.00  3.6257120E-02
   7119.33  3.7748625E-02
   7119.67  3.9227348E-02
   7120.00  4.0935778E-02
   7120.33  4.3231713E-02
   7120.67  4.6306988E-02
   7121.00  5.0373987E-02
   7121.33  5.5883280E-02
   7121.67  6.3081611E-02
   7122.00  7.2468457E-02
   7122.33  8.5211250E-02
   7122.67  1.0192955E-01
