    FDMNES
    energy     <xanes>
   7097.00  4.2992539E-03
   7097.33  4.3921147E-03
   7097.67  4.4890578E-03
   7098.00  4.5903701E-03
   7098.33  4.6970168E-03
   7098.67  4.8088238E-03
   7099.00  4.9261922E-03
   7099.33  5.0504086E-03
   7099.67  5.1813096E-03
   7100.00  5.3194741E-03
   7100.33  5.4666735E-03
   7100.67  5.6227881E-03
   7101.00  5.7886855E-03
   7101.33  5.9669007E-03
   7101.67  6.1574295E-03
   7102.00  6.3616320E-03
   7102.33  6.5833080E-03
   7102.67  6.8227310E-03
   7103.00  7.0821498E-03
   7103.33  7.3675909E-03
   7103.67  7.6799862E-03
   7104.00  8.0233063E-03
   7104.33  8.4078010E-03
   7104.67  8.8360173E-03
   7105.00  9.3155659E-03
   7105.33  9.8654975E-03
   7105.67  1.0492618E-02
   7106.00  1.1213153E-02
   7106.33  1.2066883E-02
   7106.67  1.3073214E-02
   7107.00  1.4272086E-02
   7107.33  1.5760983E-02
   7107.67  1.7603661E-02
   7108.00  1.9920844E-02
   7108.33  2.3014424E-02
   7108.67  2.7151960E-02
   7109.00  3.2832923E-02
   7109.33  4.1406730E-02
   7109.67  5.4554388E-02
   7110.00  7.5607242E-02
   7110.33  1.1428640E-01
   7110.67  1.8022678E-01
   7111.00  2.6884474E-01
   7111.33  3.2148250E-01
   7111.67  3.0717307E-01
   7112.00  2.5531620E-01
   7112.33  2.0384521E-01
   7112.67  1.5386153E-01
   7113.00  1.1101653E-01
   7113.33  8.5969450E-02
   7113.67  7.0786855E-02
   7114.00  6.0427908E-02
   7114.33  5.3157090E-02
   7114.67  4.8348383E-02
   7115.00  4.4581025E-02
   7115.33  3.9390870E-02
   7115.67  3.4644362E-02
   7116.00  3.1511314E-02
   7116.33  2.9861517E-02
   7116.67  2.9060008E-02
   7117.00  2.8873878E-02
   7117.33  2.9257334E-02
   7117.67  3.0117883E-02
   7118.00  3.1415135E-02
   7118.33  3.3054378E-02
   7118.67  3.4764873E-02
   7119.00  3.6361308E-02
   7119.33  3.7811598E-02
   7119.67  3.9353093E-02
   7120.00  4.1248570E-02
   7120.33  4.3857923E-02
   7120.67  4.7346434E-02
   7121.00  5.1923488E-02
   7121.33  5.8060366E-02
   7121.67  6.6023336E-02
   7122.00  7.6361061E-02
   7122.33  9.0332776E-02
   7122.67  1.0856531E-01
   7123.00  1.3193032E-01
   7123.33  1.6169235E-01
   7123.67  1.9647137E-01
   7124.00  2.3404017E-01
   7124.33  2.6824898E-01
   7124.67  2.9013951E-01
   7125.00  2.9414133E-01
   7125.33  2.8395860E-01
   7125.67  2.7333500E-01
   7126.00  2.6950694E-01
   7126.33  2.7719831E-01
   7126.67  2.9547062E-01
   7127.00  3.2283346E-01
   7127.33  3.5730356E-01
   7127.67  3.9705369E-01
   7128.00  4.4355533E-01
   7128.33  4.9994529E-01
   7128.67  5.6527009E-01
   7129.00  6.3803452E-01
   7129.33  7.1568740E-01
   7129.67  7.9381591E-01
   7130.00  8.6921332E-01
   7130.33  9.3738204E-01
   7130.67  9.9462162E-01
   7131.00  1.0364500E+00
   7131.33  1.0558119E+00
   7131.67  1.0543276E+00
   7132.00  1.0375538E+00
   7132.33  1.0184696E+00
   7132.67  1.0071736E+00
   7133.00  1.0028479E+00
   7133.33  9.9865912E-01
   7133.67  9.8969299E-01
   7134.00  9.7516314E-01
   7134.33  9.5564771E-01
   7134.67  9.3312286E-01
   7135.00  9.0834122E-01
   7135.33  8.8121503E-01
   7135.67  8.5171078E-01
   7136.00  8.1972716E-01
   7136.33  7.8577693E-01
   7136.67  7.5186200E-01
   7137.00  7.1992329E-01
   7137.33  6.9243064E-01
   7137.67  6.7008383E-01
   7138.00  6.5323230E-01
   7138.33  6.4235943E-01
   7138.67  6.3625211E-01
   7139.00  6.3431680E-01
   7139.33  6.3627607E-01
   7139.67  6.4102797E-01
   7140.00  6.4804450E-01
   7140.33  6.5697395E-01
   7140.67  6.6710132E-01
   7141.00  6.7802223E-01
   7141.33  6.8927821E-01
   7141.67  7.0027651E-01
   7142.00  7.1046895E-01
   7142.33  7.1893290E-01
   7142.67  7.2505573E-01
   7143.00  7.2813749E-01
   7143.33  7.2698128E-01
   7143.67  7.2156092E-01
   7144.00  7.1173221E-01
   7144.33  6.9720243E-01
   7144.67  6.7913668E-01
   7145.00  6.5833893E-01
   7145.33  6.3568294E-01
   7145.67  6.1244543E-01
   7146.00  5.8943204E-01
   7146.33  5.6749908E-01
   7146.67  5.4702975E-01
   7147.00  5.2828923E-01
   7147.33  5.1166777E-01
   7147.67  4.9695062E-01
   7148.00  4.8406795E-01
   7148.33  4.7310187E-01
   7148.67  4.6369627E-01
   7149.00  4.5572436E-01
   7149.33  4.4918971E-01
   7149.67  4.4377541E-01
   7150.00  4.3934945E-01
   7150.33  4.3586384E-01
   7150.67  4.3306366E-01
   7151.00  4.3082232E-01
   7151.33  4.2904741E-01
   7151.67  4.2754729E-01
   7152.00  4.2620562E-01
   7152.33  4.2489327E-01
   7152.67  4.2347676E-01
   7153.00  4.2184562E-01
   7153.33  4.1983105E-01
   7153.67  4.1735527E-01
   7154.00  4.1432409E-01
   7154.33  4.1056481E-01
   7154.67  4.0609476E-01
   7155.00  4.0089154E-01
   7155.33  3.9488569E-01
   7155.67  3.8821839E-01
   7156.00  3.8095588E-01
   7156.33  3.7313813E-01
   7156.67  3.6494106E-01
   7157.00  3.5646202E-01
   7157.33  3.4778618E-01
   7157.67  3.3903502E-01
   7158.00  3.3028760E-01
   7158.33  3.2164242E-01
   7158.67  3.1317657E-01
   7159.00  3.0497116E-01
   7159.33  2.9717137E-01
   7159.67  2.8983146E-01
   7160.00  2.8302375E-01
   7160.33  2.7686456E-01
   7160.67  2.7125161E-01
   7161.00  2.6607820E-01
   7161.33  2.6115462E-01
   7161.67  2.5619124E-01
   7162.00  2.5100908E-01
   7162.33  2.4551412E-01
   7162.67  2.3986963E-01
   7163.00  2.3429250E-01
   7163.33  2.2911398E-01
   7163.67  2.2454063E-01
   7164.00  2.2073323E-01
   7164.33  2.1793560E-01
   7164.67  2.1613109E-01
   7165.00  2.1537723E-01
   7165.33  2.1585853E-01
   7165.67  2.1747791E-01
   7166.00  2.2026593E-01
   7166.33  2.2439997E-01
   7166.67  2.2974478E-01
   7167.00  2.3629769E-01
   7167.33  2.4418276E-01
   7167.67  2.5320284E-01
   7168.00  2.6329508E-01
   7168.33  2.7448639E-01
   7168.67  2.8653813E-01
   7169.00  2.9933500E-01
   7169.33  3.1280559E-01
   7169.67  3.2672002E-01
   7170.00  3.4093635E-01
   7170.33  3.5528855E-01
   7170.67  3.6954849E-01
   7171.00  3.8348347E-01
   7171.33  3.9661133E-01
   7171.67  4.0837504E-01
   7172.00  4.1797010E-01
