    FDMNES
    energy     <xanes>
   7097.00  5.2161171E-03
   7097.33  5.3401816E-03
   7097.67  5.4698567E-03
   7098.00  5.6055145E-03
   7098.33  5.7484404E-03
   7098.67  5.8983567E-03
   7099.00  6.0557654E-03
   7099.33  6.2223323E-03
   7099.67  6.3977655E-03
   7100.00  6.5827574E-03
   7100.33  6.7795179E-03
   7100.67  6.9877587E-03
   7101.00  7.2084613E-03
   7101.33  7.4446372E-03
   7101.67  7.6960428E-03
   7102.00  7.9641150E-03
   7102.33  8.2530899E-03
   7102.67  8.5628598E-03
   7103.00  8.8956094E-03
   7103.33  9.2575306E-03
   7103.67  9.6488531E-03
   7104.00  1.0073055E-02
   7104.33  1.0539626E-02
   7104.67  1.1049596E-02
   7105.00  1.1608833E-02
   7105.33  1.2232771E-02
   7105.67  1.2924379E-02
   7106.00  1.3694319E-02
   7106.33  1.4569753E-02
   7106.67  1.5558664E-02
   7107.00  1.6682505E-02
   7107.33  1.7994619E-02
   7107.67  1.9517683E-02
   7108.00  2.1301886E-02
   7108.33  2.3471200E-02
   7108.67  2.6101893E-02
   7109.00  2.9344873E-02
   7109.33  3.3587527E-02
   7109.67  3.9194943E-02
   7110.00  4.6881760E-02
   7110.33  5.8615740E-02
   7110.67  7.6063919E-02
   7111.00  9.8749776E-02
   7111.33  1.2288185E-01
   7111.67  1.5273974E-01
   7112.00  1.9234338E-01
   7112.33  2.4881588E-01
   7112.67  3.2904852E-01
   7113.00  4.3659976E-01
   7113.33  5.5888124E-01
   7113.67  6.6466314E-01
   7114.00  7.0830346E-01
   7114.33  6.3524976E-01
   7114.67  5.0793616E-01
   7115.00  3.9139679E-01
   7115.33  3.1273606E-01
   7115.67  2.6103594E-01
   7116.00  2.2875197E-01
   7116.33  2.1207544E-01
   7116.67  2.0531856E-01
   7117.00  2.0337582E-01
   7117.33  1.9862856E-01
   7117.67  1.8948724E-01
   7118.00  1.7830980E-01
   7118.33  1.6733145E-01
   7118.67  1.5786749E-01
   7119.00  1.5053829E-01
   7119.33  1.4534833E-01
   7119.67  1.4139128E-01
   7120.00  1.3821177E-01
   7120.33  1.3561550E-01
   7120.67  1.3353731E-01
   7121.00  1.3202126E-01
   7121.33  1.3101805E-01
   7121.67  1.3049103E-01
   7122.00  1.3086655E-01
   7122.33  1.3287754E-01
   7122.67  1.3647385E-01
   7123.00  1.4154874E-01
   7123.33  1.4820692E-01
   7123.67  1.5639328E-01
   7124.00  1.6637328E-01
   7124.33  1.7887791E-01
   7124.67  1.9415053E-01
   7125.00  2.1266415E-01
   7125.33  2.3547543E-01
   7125.67  2.6248977E-01
   7126.00  2.9335521E-01
   7126.33  3.2629176E-01
   7126.67  3.5739083E-01
   7127.00  3.8365439E-01
   7127.33  4.0342785E-01
   7127.67  4.1948494E-01
   7128.00  4.3475033E-01
   7128.33  4.5278194E-01
   7128.67  4.7521741E-01
   7129.00  5.0214811E-01
   7129.33  5.3259215E-01
   7129.67  5.6445119E-01
   7130.00  5.9693057E-01
   7130.33  6.3029324E-01
   7130.67  6.6520846E-01
   7131.00  7.0223126E-01
   7131.33  7.4185219E-01
   7131.67  7.8358904E-01
   7132.00  8.2712453E-01
   7132.33  8.7197415E-01
   7132.67  9.1635810E-01
   7133.00  9.5728585E-01
   7133.33  9.8813823E-01
   7133.67  1.0039796E+00
   7134.00  1.0013816E+00
   7134.33  9.7799897E-01
   7134.67  9.3993515E-01
   7135.00  8.9187786E-01
   7135.33  8.3841601E-01
   7135.67  7.8406682E-01
   7136.00  7.3107469E-01
   7136.33  6.8143883E-01
   7136.67  6.3574670E-01
   7137.00  5.9454248E-01
   7137.33  5.5891919E-01
   7137.67  5.2859005E-01
   7138.00  5.0366971E-01
   7138.33  4.8461031E-01
   7138.67  4.7013358E-01
   7139.00  4.5944877E-01
   7139.33  4.5196861E-01
   7139.67  4.4663425E-01
   7140.00  4.4312038E-01
   7140.33  4.4151579E-01
   7140.67  4.4162064E-01
   7141.00  4.4345976E-01
   7141.33  4.4723085E-01
   7141.67  4.5262950E-01
   7142.00  4.5951829E-01
   7142.33  4.6783224E-01
   7142.67  4.7713282E-01
   7143.00  4.8714530E-01
   7143.33  4.9757284E-01
   7143.67  5.0802449E-01
   7144.00  5.1822186E-01
   7144.33  5.2781499E-01
   7144.67  5.3664980E-01
   7145.00  5.4459390E-01
   7145.33  5.5143851E-01
   7145.67  5.5728226E-01
   7146.00  5.6214612E-01
   7146.33  5.6597761E-01
   7146.67  5.6898306E-01
   7147.00  5.7125620E-01
   7147.33  5.7283985E-01
   7147.67  5.7393471E-01
   7148.00  5.7464750E-01
   7148.33  5.7506862E-01
   7148.67  5.7535029E-01
   7149.00  5.7559197E-01
   7149.33  5.7591296E-01
   7149.67  5.7640729E-01
   7150.00  5.7715626E-01
   7150.33  5.7828285E-01
   7150.67  5.7980421E-01
   7151.00  5.8175138E-01
   7151.33  5.8418825E-01
   7151.67  5.8703700E-01
   7152.00  5.9024970E-01
   7152.33  5.9377383E-01
   7152.67  5.9745706E-01
   7153.00  6.0117890E-01
   7153.33  6.0477493E-01
   7153.67  6.0811218E-01
   7154.00  6.1107724E-01
   7154.33  6.1350258E-01
   7154.67  6.1537331E-01
   7155.00  6.1665282E-01
   7155.33  6.1725317E-01
   7155.67  6.1726491E-01
   7156.00  6.1671802E-01
   7156.33  6.1559715E-01
   7156.67  6.1402289E-01
   7157.00  6.1204641E-01
   7157.33  6.0968367E-01
   7157.67  6.0703361E-01
   7158.00  6.0414083E-01
   7158.33  6.0102803E-01
   7158.67  5.9776159E-01
   7159.00  5.9437409E-01
   7159.33  5.9088965E-01
   7159.67  5.8735149E-01
   7160.00  5.8378591E-01
   7160.33  5.8022151E-01
   7160.67  5.7668480E-01
   7161.00  5.7319556E-01
   7161.33  5.6977581E-01
   7161.67  5.6642666E-01
   7162.00  5.6315439E-01
   7162.33  5.5996607E-01
   7162.67  5.5684002E-01
   7163.00  5.5376474E-01
   7163.33  5.5072678E-01
   7163.67  5.4769814E-01
   7164.00  5.4465476E-01
   7164.33  5.4155946E-01
   7164.67  5.3838498E-01
   7165.00  5.3510388E-01
   7165.33  5.3166984E-01
   7165.67  5.2807641E-01
   7166.00  5.2430986E-01
   7166.33  5.2033841E-01
   7166.67  5.1618414E-01
   7167.00  5.1185358E-01
   7167.33  5.0734087E-01
   7167.67  5.0268680E-01
   7168.00  4.9791412E-01
   7168.33  4.9304517E-01
   7168.67  4.8812982E-01
   7169.00  4.8320049E-01
   7169.33  4.7829277E-01
   7169.67  4.7343670E-01
   7170.00  4.6866273E-01
   7170.33  4.6402476E-01
   7170.67  4.5955258E-01
   7171.00  4.5529621E-01
   7171.33  4.5138212E-01
   7171.67  4.4792442E-01
   7172.00  4.4511544E-01
