    FDMNES
    energy     <xanes>
   7097.00  5.0784112E-03
   7097.33  5.2006965E-03
   7097.67  5.3286619E-03
   7098.00  5.4627013E-03
   7098.33  5.6041458E-03
   7098.67  5.7527401E-03
   7099.00  5.9090245E-03
   7099.33  6.0747512E-03
   7099.67  6.2496639E-03
   7100.00  6.4345243E-03
   7100.33  6.6317022E-03
   7100.67  6.8409704E-03
   7101.00  7.0634380E-03
   7101.33  7.3024140E-03
   7101.67  7.5577680E-03
   7102.00  7.8311775E-03
   7102.33  8.1274446E-03
   7102.67  8.4466855E-03
   7103.00  8.7915576E-03
   7103.33  9.1693661E-03
   7103.67  9.5808179E-03
   7104.00  1.0030369E-02
   7104.33  1.0529809E-02
   7104.67  1.1081267E-02
   7105.00  1.1692774E-02
   7105.33  1.2384861E-02
   7105.67  1.3163271E-02
   7106.00  1.4043904E-02
   7106.33  1.5066331E-02
   7106.67  1.6246410E-02
   7107.00  1.7619960E-02
   7107.33  1.9274857E-02
   7107.67  2.1260043E-02
   7108.00  2.3672794E-02
   7108.33  2.6754295E-02
   7108.67  3.0691957E-02
   7109.00  3.5839625E-02
   7109.33  4.3130045E-02
   7109.67  5.3612414E-02
   7110.00  6.9341290E-02
   7110.33  9.6205548E-02
   7110.67  1.4030721E-01
   7111.00  2.0262924E-01
   7111.33  2.6577814E-01
   7111.67  3.1465909E-01
   7112.00  3.4888255E-01
   7112.33  3.7577868E-01
   7112.67  3.8648345E-01
   7113.00  3.5036458E-01
   7113.33  2.8332171E-01
   7113.67  2.3743657E-01
   7114.00  2.2334201E-01
   7114.33  2.4167476E-01
   7114.67  2.7642847E-01
   7115.00  3.0457655E-01
   7115.33  3.0280879E-01
   7115.67  2.8245366E-01
   7116.00  2.5614458E-01
   7116.33  2.2897934E-01
   7116.67  2.0403324E-01
   7117.00  1.8411757E-01
   7117.33  1.7176631E-01
   7117.67  1.6651684E-01
   7118.00  1.6808356E-01
   7118.33  1.7528153E-01
   7118.67  1.8392510E-01
   7119.00  1.9024220E-01
   7119.33  1.8878368E-01
   7119.67  1.8000502E-01
   7120.00  1.6795520E-01
   7120.33  1.5717958E-01
   7120.67  1.4922843E-01
   7121.00  1.4450659E-01
   7121.33  1.4353789E-01
   7121.67  1.4568269E-01
   7122.00  1.5075141E-01
   7122.33  1.5922587E-01
   7122.67  1.7124728E-01
   7123.00  1.8753618E-01
   7123.33  2.0970437E-01
   7123.67  2.3759096E-01
   7124.00  2.7010650E-01
   7124.33  3.0187048E-01
   7124.67  3.2363420E-01
   7125.00  3.2977765E-01
   7125.33  3.2179024E-01
   7125.67  3.1020755E-01
   7126.00  3.0074005E-01
   7126.33  2.9609138E-01
   7126.67  2.9545904E-01
   7127.00  2.9853980E-01
   7127.33  3.0597778E-01
   7127.67  3.1774471E-01
   7128.00  3.3434494E-01
   7128.33  3.5690274E-01
   7128.67  3.8487788E-01
   7129.00  4.1855408E-01
   7129.33  4.5986012E-01
   7129.67  5.0911150E-01
   7130.00  5.6631067E-01
   7130.33  6.2987137E-01
   7130.67  6.9352087E-01
   7131.00  7.5032902E-01
   7131.33  7.9209920E-01
   7131.67  8.2086606E-01
   7132.00  8.4162578E-01
   7132.33  8.5919660E-01
   7132.67  8.7532720E-01
   7133.00  8.8889917E-01
   7133.33  8.9729218E-01
   7133.67  8.9961232E-01
   7134.00  8.9540941E-01
   7134.33  8.8406200E-01
   7134.67  8.6696152E-01
   7135.00  8.4484063E-01
   7135.33  8.1824472E-01
   7135.67  7.8883047E-01
   7136.00  7.5760710E-01
   7136.33  7.2559839E-01
   7136.67  6.9390291E-01
   7137.00  6.6333225E-01
   7137.33  6.3506645E-01
   7137.67  6.0975065E-01
   7138.00  5.8808931E-01
   7138.33  5.7125621E-01
   7138.67  5.5906309E-01
   7139.00  5.5154302E-01
   7139.33  5.4898647E-01
   7139.67  5.5030773E-01
   7140.00  5.5488346E-01
   7140.33  5.6217164E-01
   7140.67  5.7098788E-01
   7141.00  5.8059856E-01
   7141.33  5.9022766E-01
   7141.67  5.9921753E-01
   7142.00  6.0712183E-01
   7142.33  6.1337572E-01
   7142.67  6.1792026E-01
   7143.00  6.2064668E-01
   7143.33  6.2130023E-01
   7143.67  6.2018601E-01
   7144.00  6.1743969E-01
   7144.33  6.1311549E-01
   7144.67  6.0767637E-01
   7145.00  6.0139648E-01
   7145.33  5.9453782E-01
   7145.67  5.8747417E-01
   7146.00  5.8044238E-01
   7146.33  5.7370631E-01
   7146.67  5.6741173E-01
   7147.00  5.6167161E-01
   7147.33  5.5665635E-01
   7147.67  5.5233610E-01
   7148.00  5.4872567E-01
   7148.33  5.4590965E-01
   7148.67  5.4378927E-01
   7149.00  5.4235203E-01
   7149.33  5.4165433E-01
   7149.67  5.4158354E-01
   7150.00  5.4213210E-01
   7150.33  5.4338379E-01
   7150.67  5.4527315E-01
   7151.00  5.4782140E-01
   7151.33  5.5115313E-01
   7151.67  5.5521238E-01
   7152.00  5.6001030E-01
   7152.33  5.6562586E-01
   7152.67  5.7191332E-01
   7153.00  5.7877626E-01
   7153.33  5.8607953E-01
   7153.67  5.9350561E-01
   7154.00  6.0076055E-01
   7154.33  6.0738043E-01
   7154.67  6.1302998E-01
   7155.00  6.1739223E-01
   7155.33  6.1998647E-01
   7155.67  6.2085069E-01
   7156.00  6.1995839E-01
   7156.33  6.1718776E-01
   7156.67  6.1293436E-01
   7157.00  6.0740567E-01
   7157.33  6.0073958E-01
   7157.67  5.9332771E-01
   7158.00  5.8538365E-01
   7158.33  5.7709018E-01
   7158.67  5.6867225E-01
   7159.00  5.6025823E-01
   7159.33  5.5197327E-01
   7159.67  5.4387523E-01
   7160.00  5.3599962E-01
   7160.33  5.2839205E-01
   7160.67  5.2101913E-01
   7161.00  5.1386911E-01
   7161.33  5.0694980E-01
   7161.67  5.0021975E-01
   7162.00  4.9367069E-01
   7162.33  4.8732210E-01
   7162.67  4.8115690E-01
   7163.00  4.7518501E-01
   7163.33  4.6944717E-01
   7163.67  4.6393383E-01
   7164.00  4.5865883E-01
   7164.33  4.5366662E-01
   7164.67  4.4893439E-01
   7165.00  4.4446463E-01
   7165.33  4.4028572E-01
   7165.67  4.3635629E-01
   7166.00  4.3266352E-01
   7166.33  4.2921290E-01
   7166.67  4.2595323E-01
   7167.00  4.2286534E-01
   7167.33  4.1995107E-01
   7167.67  4.1717849E-01
   7168.00  4.1454287E-01
   7168.33  4.1206975E-01
   7168.67  4.0976049E-01
   7169.00  4.0763787E-01
   7169.33  4.0575881E-01
   7169.67  4.0412535E-01
   7170.00  4.0275873E-01
   7170.33  4.0171093E-01
   7170.67  4.0095003E-01
   7171.00  4.0046484E-01
   7171.33  4.0024868E-01
   7171.67  4.0019810E-01
   7172.00  4.0021450E-01
