ORCA
Energy	<xanes>
2395.00	0.000000e+00
2395.13	0.000000e+00
2395.25	0.000000e+00
2395.38	0.000000e+00
2395.50	0.000000e+00
2395.63	0.000000e+00
2395.75	0.000000e+00
2395.88	0.000000e+00
2396.00	0.000000e+00
2396.13	0.000000e+00
2396.25	0.000000e+00
2396.38	0.000000e+00
2396.50	0.000000e+00
2396.63	0.000000e+00
2396.75	0.000000e+00
2396.88	0.000000e+00
2397.01	0.000000e+00
2397.13	0.000000e+00
2397.26	0.000000e+00
2397.38	0.000000e+00
2397.51	0.000000e+00
2397.63	0.000000e+00
2397.76	0.000000e+00
2397.88	0.000000e+00
2398.01	0.000000e+00
2398.13	0.000000e+00
2398.26	0.000000e+00
2398.38	0.000000e+00
2398.51	0.000000e+00
2398.63	0.000000e+00
2398.76	0.000000e+00
2398.88	0.000000e+00
2399.01	0.000000e+00
2399.14	0.000000e+00
2399.26	0.000000e+00
2399.39	0.000000e+00
2399.51	0.000000e+00
2399.64	0.000000e+00
2399.76	0.000000e+00
2399.89	0.000000e+00
2400.01	0.000000e+00
2400.14	0.000000e+00
2400.26	0.000000e+00
2400.39	0.000000e+00
2400.51	0.000000e+00
2400.64	0.000000e+00
2400.76	0.000000e+00
2400.89	0.000000e+00
2401.02	0.000000e+00
2401.14	0.000000e+00
2401.27	0.000000e+00
2401.39	0.000000e+00
2401.52	0.000000e+00
2401.64	0.000000e+00
2401.77	0.000000e+00
2401.89	0.000000e+00
2402.02	0.000000e+00
2402.14	0.000000e+00
2402.27	0.000000e+00
2402.39	3.461572e-08
2402.52	1.730786e-07
2402.64	7.892385e-07
2402.77	3.274647e-06
2402.89	1.245820e-05
2403.02	4.344965e-05
2403.15	1.388852e-04
2403.27	4.069182e-04
2403.40	1.092811e-03
2403.52	2.690099e-03
2403.65	6.069815e-03
2403.77	1.255372e-02
2403.90	2.379952e-02
2404.02	4.136025e-02
2404.15	6.589657e-02
2404.27	9.627384e-02
2404.40	1.290464e-01
2404.52	1.588833e-01
2404.65	1.801419e-01
2404.77	1.891325e-01
2404.90	1.860340e-01
2405.03	1.753692e-01
2405.15	1.645566e-01
2405.28	1.610048e-01
2405.40	1.689691e-01
2405.53	1.875633e-01
2405.65	2.108596e-01
2405.78	2.301224e-01
2405.90	2.372600e-01
2406.03	2.279683e-01
2406.15	2.031643e-01
2406.28	1.681663e-01
2406.40	1.302367e-01
2406.53	9.583951e-02
2406.65	6.887909e-02
2406.78	5.042704e-02
2406.90	3.959343e-02
2407.03	3.475363e-02
2407.16	3.443988e-02
